State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
South Carolina,Employment or Tax-Related Fraud,415,4%
South Carolina,Government Documents or Benefits Fraud,271,2%
South Dakota,Credit Card Fraud,161,39%
South Dakota,Phone or Utilities Fraud,83,20%
South Dakota,Other Identity Theft,82,20%
South Dakota,Bank Fraud,53,13%
South Dakota,Employment or Tax-Related Fraud,37,9%
South Dakota,Loan or Lease Fraud,36,9%
South Dakota,Government Documents or Benefits Fraud,22,5%
Tennessee,Other Identity Theft,4686,44%
Tennessee,Credit Card Fraud,"3,427",32%
Tennessee,Loan or Lease Fraud,1885,18%
Tennessee,Phone or Utilities Fraud,1266,12%
Tennessee,Bank Fraud,1029,10%
Tennessee,Employment or Tax-Related Fraud,622,6%
Tennessee,Government Documents or Benefits Fraud,373,3%
Texas,Credit Card Fraud,"27,064",37%
Texas,Other Identity Theft,"25,920",35%
Texas,Loan or Lease Fraud,"19,114",26%
Texas,Phone or Utilities Fraud,"10,172",14%
Texas,Bank Fraud,"5,401",7%
Texas,Employment or Tax-Related Fraud,"5,225",7%
Texas,Government Documents or Benefits Fraud,"2,102",3%
Utah,Other Identity Theft,1977,42%
Utah,Credit Card Fraud,1913,41%
Utah,Loan or Lease Fraud,1166,25%
Utah,Phone or Utilities Fraud,537,11%
Utah,Bank Fraud,411,9%
Utah,Employment or Tax-Related Fraud,321,7%
Utah,Government Documents or Benefits Fraud,119,3%
Vermont,Credit Card Fraud,147,43%
Vermont,Other Identity Theft,68,20%
Vermont,Phone or Utilities Fraud,52,15%
Vermont,Employment or Tax-Related Fraud,45,13%
Vermont,Bank Fraud,41,12%
Vermont,Government Documents or Benefits Fraud,18,5%
Vermont,Loan or Lease Fraud,17,5%
Virginia,Credit Card Fraud,"3,912",38%
Virginia,Other Identity Theft,"3,442",33%
Virginia,Loan or Lease Fraud,"1,732",17%
Virginia,Phone or Utilities Fraud,1320,13%
Virginia,Bank Fraud,1248,12%
Virginia,Employment or Tax-Related Fraud,595,6%
Virginia,Government Documents or Benefits Fraud,327,3%
Washington,Credit Card Fraud,"2,933",41%
Washington,Other Identity Theft,"1,767",25%
Washington,Bank Fraud,"1,383",19%
Washington,Phone or Utilities Fraud,930,13%
Washington,Loan or Lease Fraud,736,10%
Washington,Employment or Tax-Related Fraud,716,10%
Washington,Government Documents or Benefits Fraud,432,6%
West Virginia,Credit Card Fraud,385,36%
West Virginia,Other Identity Theft,271,26%
West Virginia,Phone or Utilities Fraud,208,20%
West Virginia,Bank Fraud,177,17%
West Virginia,Government Documents or Benefits Fraud,82,8%
West Virginia,Employment or Tax-Related Fraud,79,7%
West Virginia,Loan or Lease Fraud,78,7%
Wisconsin,Credit Card Fraud,1934,39%
Wisconsin,Other Identity Theft,"1,498",30%
Wisconsin,Loan or Lease Fraud,731,15%
Wisconsin,Bank Fraud,665,13%
Wisconsin,Phone or Utilities Fraud,665,13%
Wisconsin,Employment or Tax-Related Fraud,432,9%
Wisconsin,Government Documents or Benefits Fraud,216,4%
Wyoming,Credit Card Fraud,107,34%
Wyoming,Other Identity Theft,85,27%
Wyoming,Bank Fraud,59,18%
Wyoming,Employment or Tax-Related Fraud,40,13%
Wyoming,Phone or Utilities Fraud,40,13%
Wyoming,Loan or Lease Fraud,35,11%
Wyoming,Government Documents or Benefits Fraud,25,8%
,,,
Percentages are based on the total number of 2019 Identity Theft reports from the corresponding state's consumers. Consumers can report multiple types of identity theft.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
