Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,849,0.03%
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,277,0.01%
2018,Credit Cards,Credit Cards,"52,409",1.69%
2018,Debt Collection,Creditor Debt Collection,"38,531",1.24%
2018,Debt Collection,Third Party Debt Collection,"445,629",14.35%
2018,Education,Education: Colleges and Universities,"13,547",0.44%
2018,Education,Education: Trade\Vocational Schools,"2,391",0.08%
2018,Foreign Money Offers and Counterfeit Check Scams,Counterfeit Check Scams,"23,098",0.74%
2018,Foreign Money Offers and Counterfeit Check Scams,Nigerian\Other Foreign Money Offers (not prizes),"4,479",0.14%
2018,Funeral Services,Funeral Services,"1,029",0.03%
2018,Grants,Grants: Non-Educational,"5,615",0.18%
2018,Grants,Scholarships\Educational Grants,733,0.02%
2018,Health Care,Connected Consumer Devices: Activity\Healthcare Trackers*,45,0.00%
2018,Health Care,Health Care: Diet Products\Centers\Plans,"13,714",0.44%
2018,Health Care,Health Care: Dietary Supplements\Herbal Remedies,"2,534",0.08%
2018,Health Care,Health Care: Drugs-OTC\Prescription,"2,096",0.07%
2018,Health Care,Health Care: Eye Care*,"4,199",0.14%
2018,Health Care,Health Care: Medical Discount Plans\Cards\Insurance,"5,518",0.18%
2018,Health Care,Health Care: Other Medical Treatments*,"11,636",0.37%
2018,Health Care,Health Care: Other Products\Supplies*,"11,382",0.37%
2018,"Home Repair, Improvement and Products",Home Appliances,"2,729",0.09%
2018,"Home Repair, Improvement and Products",Home Furnishings,"1,424",0.05%
2018,"Home Repair, Improvement and Products",Home Protection Devices,932,0.03%
2018,"Home Repair, Improvement and Products",Home Repair,"5,226",0.17%
2018,"Home Repair, Improvement and Products",Housing,"6,872",0.22%
2018,Identity Theft,Identity Theft,"444,358",14.31%
2018,Imposter Scams,Imposter: Business,"104,601",3.37%
2018,Imposter Scams,Imposter: Family\Friend,"21,675",0.70%
2018,Imposter Scams,Imposter: Government,"255,223",8.22%
2018,Imposter Scams,Romance Scams,"22,284",0.72%
2018,Imposter Scams,Tech Support Scams,"148,496",4.78%
2018,Internet Auction,Internet Auction,"1,743",0.06%
2018,Internet Services,Broadband Internet Services and Content: Cost*,863,0.03%
2018,Internet Services,Broadband Internet Services and Content: Internet Access*,398,0.01%
2018,Internet Services,Broadband Internet Services and Content: Internet Speed*,419,0.01%
2018,Internet Services,Internet Access Services,"4,410",0.14%
2018,Internet Services,Internet Information Services,"33,891",1.09%
2018,Internet Services,Internet Web Site Design\Promotion,"3,535",0.11%
2018,Internet Services,Malware and Computer Exploits,"2,534",0.08%
2018,Internet Services,Online Payment Services,"7,879",0.25%
2018,Internet Services,Social Networking Service,"8,489",0.27%
2018,Internet Services,Video and Internet Gaming\Virtual Reality*,"4,116",0.13%
2018,Investment Related,"Invest: Advice, Seminars","7,524",0.24%
2018,Investment Related,Invest: Art\Gems\Rare Coins,503,0.02%
2018,Investment Related,Invest: Other (note in comments),"6,244",0.20%
2018,Investment Related,Invest: Stocks\Commodity Futures Trading,"1,185",0.04%
2018,Magazines and Books,Books and Magazines,"6,756",0.22%
2018,Miscellaneous Reports,Children's Products,"1,835",0.06%
2018,Miscellaneous Reports,Food,"2,433",0.08%
2018,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",793,0.03%
2018,Miscellaneous Reports,Health Care Provider Billing,"1,116",0.04%
2018,Miscellaneous Reports,Immigration Services,"1,310",0.04%
2018,Miscellaneous Reports,Insurance (Other than Medical),"3,404",0.11%
2018,Miscellaneous Reports,Jewelry\Watches,"4,725",0.15%
2018,Miscellaneous Reports,Leasing: Business,268,0.01%
2018,Miscellaneous Reports,Modeling Agencies\Services,209,0.01%
2018,Miscellaneous Reports,Personal Care Products,"2,205",0.07%
2018,Miscellaneous Reports,Property\Inheritance Tracers,291,0.01%
2018,Miscellaneous Reports,Real Estate (not Timeshares),"9,191",0.30%
2018,Miscellaneous Reports,Tobacco Products,687,0.02%
2018,Miscellaneous Reports,Utilities,"9,361",0.30%
2018,Mortgage Foreclosure Relief and Debt Management,Debt Management\Credit Counseling,"8,970",0.29%
2018,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification\Foreclosure Relief,"1,470",0.05%
2018,Office Supplies and Services,Office Supplies and Services,"2,269",0.07%
2018,Office Supplies and Services,Office: Ad Space\Directory Listings,"3,548",0.11%
2018,Online Shopping and Negative Reviews,Negative Online Reviews*,230,0.01%
2018,Online Shopping and Negative Reviews,Online Shopping,"151,158",4.87%
2018,"Prizes, Sweepstakes and Lotteries",Prizes\Sweepstakes\Lotteries,"140,066",4.51%
2018,Tax Preparers,Tax Preparers,"4,295",0.14%
2018,Telephone and Mobile Services,Connected Consumer Devices: General*,182,0.01%
2018,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services","43,860",1.41%
2018,Telephone and Mobile Services,Mobile: Applications\Other Downloads,"1,999",0.06%
2018,Telephone and Mobile Services,Mobile: Carrier Rates\Plans,"5,351",0.17%
2018,Telephone and Mobile Services,Mobile: Text Messages,"93,333",3.01%
2018,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits,"1,314",0.04%
2018,Telephone and Mobile Services,Telephone: Carrier Switching,519,0.02%
2018,Telephone and Mobile Services,Telephone: Other,"22,265",0.72%
2018,Telephone and Mobile Services,Telephone: Prepaid Phone Cards,"1,167",0.04%
2018,Telephone and Mobile Services,Telephone: Rates\Advertising,33,0.00%
2018,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits,428,0.01%
2018,Telephone and Mobile Services,Telephone: VoIP Services,575,0.02%
2018,Television and Electronic Media,Digital Media\Streaming,947,0.03%
2018,Television and Electronic Media,Television (Programming and Advertisements),"1,717",0.06%
2018,Television and Electronic Media,Television: Satellite & Cable,"37,620",1.21%
2018,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,424",0.08%
2018,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,713",0.22%
2018,"Travel, Vacations and Timeshare Plans",Travel\Vacations,"21,610",0.70%
2018,Unspecified Reports,Other (Note in Comments),"216,490",6.97%
2018,Unspecified Reports,Telemarketing Practices,"88,715",2.86%
2018,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products,"1,357",0.04%
2018,Unspecified Reports,Unsolicited Email,"22,622",0.73%
2019,Advance Payments for Credit Services,"Advance-Fee Loans, Credit Arrangers","12,866",0.40%
2019,Advance Payments for Credit Services,Credit Card Loss Protection,123,0.00%
2019,Advance Payments for Credit Services,Credit Repair,"3,950",0.12%
2019,Advance Payments for Credit Services,Recovery\Refund Companies,469,0.01%
2019,Auto Related,Auto: Financing,"9,612",0.30%
2019,Auto Related,Auto: Gas,247,0.01%
2019,Auto Related,Auto: Parts & Repairs,"24,323",0.76%
2019,Auto Related,Auto: Renting & Leasing,"10,562",0.33%
2019,Auto Related,Auto: Sales – New,"35,679",1.11%
2019,Auto Related,Auto: Sales – Used,"28,821",0.90%
2019,Auto Related,Auto: Warranty Plans & Services,"7,609",0.24%
2019,Banks and Lenders,"Banks, Savings & Loans, and Credit Unions","52,190",1.63%
2019,Banks and Lenders,Lending: Auto Title Loans,951,0.03%
2019,Banks and Lenders,Lending: Banks & Credit Unions,370,0.01%
2019,Banks and Lenders,Lending: Finance Company,"7,341",0.23%
2019,Banks and Lenders,Lending: Mortgage,"34,667",1.08%
2019,Banks and Lenders,Lending: Other Institutions,"10,848",0.34%
2019,Banks and Lenders,Lending: Payday Loans,"7,742",0.24%
2019,Banks and Lenders,Lending: Student Loans,"35,567",1.11%
2019,Business and Job Opportunities,Business Opportunities\Work-At-Home Plans,"14,953",0.47%
2019,Business and Job Opportunities,Employ Agencies\Job Counsel\Overseas Work,"10,068",0.31%
2019,Business and Job Opportunities,Franchises\Distributorships*,"1,066",0.03%
2019,Business and Job Opportunities,Inventions\Idea Promotions,839,0.03%
2019,Business and Job Opportunities,Multi-Level Mktg\Pyramids\Chain Letters,"1,747",0.05%
2019,Charitable Solicitations,Charitable Solicitations,"3,389",0.11%
2019,Computer Equipment and Software,Computers: Equipment\Software,"12,901",0.40%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"164,619",5.14%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,629,0.02%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,343,0.01%
2019,Credit Cards,Credit Cards,"54,150",1.69%
2019,Debt Collection,Creditor Debt Collection,"37,227",1.16%
2019,Debt Collection,Third Party Debt Collection,"98,114",3.07%
2019,Education,Education: Colleges and Universities,"18,088",0.57%
2019,Education,Education: Trade\Vocational Schools,"2,489",0.08%
2019,Foreign Money Offers and Counterfeit Check Scams,Counterfeit Check Scams,"27,330",0.85%
2019,Foreign Money Offers and Counterfeit Check Scams,Nigerian\Other Foreign Money Offers (not prizes),"3,901",0.12%
2019,Funeral Services,Funeral Services,"1,105",0.03%
2019,Grants,Grants: Non-Educational,"4,445",0.14%
2019,Grants,Scholarships\Educational Grants,846,0.03%
2019,Health Care,Connected Consumer Devices: Activity\Healthcare Trackers*,108,0.00%
2019,Health Care,Health Care: Diet Products\Centers\Plans,"14,803",0.46%
2019,Health Care,Health Care: Dietary Supplements\Herbal Remedies,"3,232",0.10%
2019,Health Care,Health Care: Drugs-OTC\Prescription,"2,561",0.08%
2019,Health Care,Health Care: Eye Care*,"4,627",0.14%
2019,Health Care,Health Care: Medical Discount Plans\Cards\Insurance,"6,372",0.20%
2019,Health Care,Health Care: Other Medical Treatments*,"15,778",0.49%
2019,Health Care,Health Care: Other Products\Supplies*,"12,134",0.38%
2019,"Home Repair, Improvement and Products",Home Appliances,"2,750",0.09%
2019,"Home Repair, Improvement and Products",Home Furnishings,"1,556",0.05%
2019,"Home Repair, Improvement and Products",Home Protection Devices,"1,000",0.03%
2019,"Home Repair, Improvement and Products",Home Repair,"10,792",0.34%
2019,"Home Repair, Improvement and Products",Housing,"7,879",0.25%
2019,Identity Theft,Identity Theft,"650,572",20.33%
2019,Imposter Scams,Imposter: Business,"107,339",3.35%
2019,Imposter Scams,Imposter: Family\Friend,"20,232",0.63%
2019,Imposter Scams,Imposter: Government,"389,563",12.17%
2019,Imposter Scams,Romance Scams,"25,147",0.79%
2019,Imposter Scams,Tech Support Scams,"107,907",3.37%
2019,Internet Auction,Internet Auction,"1,795",0.06%
2019,Internet Services,Broadband Internet Services and Content: Cost*,"2,478",0.08%
2019,Internet Services,Broadband Internet Services and Content: Internet Access*,"1,221",0.04%
2019,Internet Services,Broadband Internet Services and Content: Internet Speed*,"1,103",0.03%
2019,Internet Services,Internet Access Services,"2,532",0.08%
2019,Internet Services,Internet Information Services,"42,791",1.34%
2019,Internet Services,Internet Web Site Design\Promotion,"3,956",0.12%
2019,Internet Services,Malware and Computer Exploits,"3,176",0.10%
2019,Internet Services,Online Payment Services,"10,619",0.33%
2019,Internet Services,Social Networking Service,"7,822",0.24%
2019,Internet Services,Video and Internet Gaming\Virtual Reality*,"4,125",0.13%
2019,Investment Related,"Invest: Advice, Seminars","8,663",0.27%
2019,Investment Related,Invest: Art\Gems\Rare Coins,638,0.02%
2019,Investment Related,Invest: Other (note in comments),"6,303",0.20%
2019,Investment Related,Invest: Stocks\Commodity Futures Trading,"1,108",0.03%
2019,Magazines and Books,Books and Magazines,"7,191",0.22%
2019,Miscellaneous Reports,Children's Products,"1,293",0.04%
2019,Miscellaneous Reports,Food,"1,475",0.05%
2019,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",813,0.03%
2019,Miscellaneous Reports,Health Care Provider Billing,"1,199",0.04%
2019,Miscellaneous Reports,Immigration Services,"1,104",0.03%
2019,Miscellaneous Reports,Insurance (Other than Medical),"4,589",0.14%
2019,Miscellaneous Reports,Jewelry\Watches,"4,189",0.13%
2019,Miscellaneous Reports,Leasing: Business,230,0.01%
2019,Miscellaneous Reports,Modeling Agencies\Services,184,0.01%
2019,Miscellaneous Reports,Personal Care Products,"2,304",0.07%
2019,Miscellaneous Reports,Property\Inheritance Tracers,527,0.02%
2019,Miscellaneous Reports,Real Estate (not Timeshares),"9,153",0.29%
2019,Miscellaneous Reports,Tobacco Products,897,0.03%
2019,Miscellaneous Reports,Utilities,"15,788",0.49%
2019,Mortgage Foreclosure Relief and Debt Management,Debt Management\Credit Counseling,"9,490",0.30%
2019,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification\Foreclosure Relief,"1,115",0.03%
2019,Office Supplies and Services,Office Supplies and Services,"2,316",0.07%
2019,Office Supplies and Services,Office: Ad Space\Directory Listings,"3,090",0.10%
2019,Online Shopping and Negative Reviews,Negative Online Reviews*,779,0.02%
2019,Online Shopping and Negative Reviews,Online Shopping,"173,310",5.42%
2019,"Prizes, Sweepstakes and Lotteries",Prizes\Sweepstakes\Lotteries,"124,841",3.90%
2019,Tax Preparers,Tax Preparers,"4,096",0.13%
2019,Telephone and Mobile Services,Connected Consumer Devices: General*,458,0.01%
2019,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services","41,641",1.30%
2019,Telephone and Mobile Services,Mobile: Applications\Other Downloads,"2,941",0.09%
2019,Telephone and Mobile Services,Mobile: Carrier Rates\Plans,"5,194",0.16%
2019,Telephone and Mobile Services,Mobile: Text Messages,"107,675",3.36%
2019,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits,"3,105",0.10%
2019,Telephone and Mobile Services,Telephone: Carrier Switching,785,0.02%
2019,Telephone and Mobile Services,Telephone: Other,"27,142",0.85%
2019,Telephone and Mobile Services,Telephone: Prepaid Phone Cards,"1,063",0.03%
2019,Telephone and Mobile Services,Telephone: Rates\Advertising,56,0.00%
2019,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits,507,0.02%
2019,Telephone and Mobile Services,Telephone: VoIP Services,806,0.03%
2019,Television and Electronic Media,Digital Media\Streaming,"1,188",0.04%
2019,Television and Electronic Media,Television (Programming and Advertisements),"1,738",0.05%
2019,Television and Electronic Media,Television: Satellite & Cable,"33,885",1.06%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,327",0.07%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,756",0.21%
2019,"Travel, Vacations and Timeshare Plans",Travel\Vacations,"25,717",0.80%
2019,Unspecified Reports,Other (Note in Comments),"224,615",7.02%
2019,Unspecified Reports,Telemarketing Practices,"299,791",9.37%
2019,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products,"1,557",0.05%
2019,Unspecified Reports,Unsolicited Email,"40,156",1.25%
,,,,
"Percentages are based on the total number of Sentinel reports in 2017 (2,904,329), 2018 (3,104,375), and 2019 (3,200,329). Consumers can report more than one category or subcategory.",,,,
*These subcategories are counted as Other report types even though the broader category assigned is Fraud.,,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,,
