State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Iowa,Employment or Tax-Related Fraud,357,12%
Iowa,Government Documents or Benefits Fraud,168,5%
Iowa,Loan or Lease Fraud,305,10%
Iowa,Other Identity Theft,682,22%
Iowa,Phone or Utilities Fraud,278,9%
Kansas,Bank Fraud,"1,580",28%
Kansas,Credit Card Fraud,"1,663",29%
Kansas,Employment or Tax-Related Fraud,603,11%
Kansas,Government Documents or Benefits Fraud,897,16%
Kansas,Loan or Lease Fraud,554,10%
Kansas,Other Identity Theft,962,17%
Kansas,Phone or Utilities Fraud,252,4%
Kentucky,Bank Fraud,931,17%
Kentucky,Credit Card Fraud,"1,784",33%
Kentucky,Employment or Tax-Related Fraud,707,13%
Kentucky,Government Documents or Benefits Fraud,422,8%
Kentucky,Loan or Lease Fraud,573,11%
Kentucky,Other Identity Theft,"1,429",27%
Kentucky,Phone or Utilities Fraud,452,8%
Louisiana,Bank Fraud,"1,191",5%
Louisiana,Credit Card Fraud,"10,708",43%
Louisiana,Employment or Tax-Related Fraud,"1,030",4%
Louisiana,Government Documents or Benefits Fraud,615,2%
Louisiana,Loan or Lease Fraud,"7,050",28%
Louisiana,Other Identity Theft,"9,713",39%
Louisiana,Phone or Utilities Fraud,"1,892",8%
Maine,Bank Fraud,289,21%
Maine,Credit Card Fraud,423,31%
Maine,Employment or Tax-Related Fraud,214,16%
Maine,Government Documents or Benefits Fraud,124,9%
Maine,Loan or Lease Fraud,89,6%
Maine,Other Identity Theft,331,24%
Maine,Phone or Utilities Fraud,95,7%
Maryland,Bank Fraud,"3,482",17%
Maryland,Credit Card Fraud,"8,328",40%
Maryland,Employment or Tax-Related Fraud,"1,290",6%
Maryland,Government Documents or Benefits Fraud,"1,356",7%
Maryland,Loan or Lease Fraud,"2,833",14%
Maryland,Other Identity Theft,"6,142",30%
Maryland,Phone or Utilities Fraud,"1,589",8%
Massachusetts,Bank Fraud,"2,385",15%
Massachusetts,Credit Card Fraud,"5,682",37%
Massachusetts,Employment or Tax-Related Fraud,"1,330",9%
Massachusetts,Government Documents or Benefits Fraud,872,6%
Massachusetts,Loan or Lease Fraud,"1,229",8%
Massachusetts,Other Identity Theft,"5,310",34%
Massachusetts,Phone or Utilities Fraud,879,6%
Michigan,Bank Fraud,"4,967",23%
Michigan,Credit Card Fraud,"7,577",35%
Michigan,Employment or Tax-Related Fraud,"1,503",7%
Michigan,Government Documents or Benefits Fraud,992,5%
Michigan,Loan or Lease Fraud,"2,462",11%
Michigan,Other Identity Theft,"5,533",25%
Michigan,Phone or Utilities Fraud,"2,568",12%
Minnesota,Bank Fraud,"1,468",20%
Minnesota,Credit Card Fraud,"2,731",38%
Minnesota,Employment or Tax-Related Fraud,792,11%
Minnesota,Government Documents or Benefits Fraud,869,12%
Minnesota,Loan or Lease Fraud,770,11%
Minnesota,Other Identity Theft,"1,473",20%
Minnesota,Phone or Utilities Fraud,468,6%
Mississippi,Bank Fraud,615,6%
Mississippi,Credit Card Fraud,"3,763",37%
Mississippi,Employment or Tax-Related Fraud,539,5%
Mississippi,Government Documents or Benefits Fraud,195,2%
Mississippi,Loan or Lease Fraud,"1,471",14%
Mississippi,Other Identity Theft,"4,852",47%
Mississippi,Phone or Utilities Fraud,454,4%
Missouri,Bank Fraud,"1,634",14%
Missouri,Credit Card Fraud,"3,391",28%
Missouri,Employment or Tax-Related Fraud,"1,946",16%
Missouri,Government Documents or Benefits Fraud,758,6%
Missouri,Loan or Lease Fraud,"1,920",16%
Missouri,Other Identity Theft,"4,056",34%
Missouri,Phone or Utilities Fraud,"1,006",8%
Montana,Bank Fraud,225,20%
Montana,Credit Card Fraud,375,33%
Montana,Employment or Tax-Related Fraud,139,12%
Montana,Government Documents or Benefits Fraud,60,5%
Montana,Loan or Lease Fraud,111,10%
Montana,Other Identity Theft,307,27%
Montana,Phone or Utilities Fraud,96,9%
Nebraska,Bank Fraud,399,20%
Nebraska,Credit Card Fraud,667,33%
Nebraska,Employment or Tax-Related Fraud,262,13%
Nebraska,Government Documents or Benefits Fraud,134,7%
Nebraska,Loan or Lease Fraud,246,12%
Nebraska,Other Identity Theft,557,28%
Nebraska,Phone or Utilities Fraud,161,8%
Nevada,Bank Fraud,"1,062",8%
Nevada,Credit Card Fraud,"5,729",45%
Nevada,Employment or Tax-Related Fraud,822,6%
Nevada,Government Documents or Benefits Fraud,490,4%
Nevada,Loan or Lease Fraud,"1,904",15%
Nevada,Other Identity Theft,"4,372",35%
Nevada,Phone or Utilities Fraud,933,7%
New Hampshire,Bank Fraud,471,25%
New Hampshire,Credit Card Fraud,787,42%
New Hampshire,Employment or Tax-Related Fraud,141,7%
New Hampshire,Government Documents or Benefits Fraud,72,4%
New Hampshire,Loan or Lease Fraud,222,12%
New Hampshire,Other Identity Theft,348,18%
New Hampshire,Phone or Utilities Fraud,222,12%
New Jersey,Bank Fraud,"3,309",12%
New Jersey,Credit Card Fraud,"13,792",48%
New Jersey,Employment or Tax-Related Fraud,"1,276",4%
New Jersey,Government Documents or Benefits Fraud,"1,164",4%
New Jersey,Loan or Lease Fraud,"3,652",13%
New Jersey,Other Identity Theft,"8,027",28%
New Jersey,Phone or Utilities Fraud,"2,336",8%
New Mexico,Bank Fraud,597,19%
New Mexico,Credit Card Fraud,933,29%
New Mexico,Employment or Tax-Related Fraud,679,21%
New Mexico,Government Documents or Benefits Fraud,259,8%
New Mexico,Loan or Lease Fraud,396,12%
New Mexico,Other Identity Theft,690,22%
New Mexico,Phone or Utilities Fraud,263,8%
New York,Bank Fraud,"8,387",14%
New York,Credit Card Fraud,"29,325",48%
New York,Employment or Tax-Related Fraud,"3,814",6%
New York,Government Documents or Benefits Fraud,"3,047",5%
New York,Loan or Lease Fraud,"7,192",12%
New York,Other Identity Theft,"14,716",24%
New York,Phone or Utilities Fraud,"3,640",6%
North Carolina,Bank Fraud,"4,111",13%
North Carolina,Credit Card Fraud,"11,399",36%
North Carolina,Employment or Tax-Related Fraud,"1,682",5%
North Carolina,Government Documents or Benefits Fraud,742,2%
North Carolina,Loan or Lease Fraud,"3,942",12%
North Carolina,Other Identity Theft,"13,213",42%
North Carolina,Phone or Utilities Fraud,"2,106",7%
North Dakota,Bank Fraud,135,16%
North Dakota,Credit Card Fraud,326,38%
North Dakota,Employment or Tax-Related Fraud,87,10%
North Dakota,Government Documents or Benefits Fraud,39,5%
North Dakota,Loan or Lease Fraud,111,13%
North Dakota,Other Identity Theft,239,28%
North Dakota,Phone or Utilities Fraud,65,8%
Ohio,Bank Fraud,"5,523",18%
Ohio,Credit Card Fraud,"9,172",30%
Ohio,Employment or Tax-Related Fraud,"2,865",9%
Ohio,Government Documents or Benefits Fraud,"6,320",20%
Ohio,Loan or Lease Fraud,"3,611",12%
Ohio,Other Identity Theft,"6,499",21%
Ohio,Phone or Utilities Fraud,"1,818",6%
Oklahoma,Bank Fraud,857,14%
Oklahoma,Credit Card Fraud,"1,981",33%
Oklahoma,Employment or Tax-Related Fraud,995,16%
Oklahoma,Government Documents or Benefits Fraud,306,5%
Oklahoma,Loan or Lease Fraud,850,14%
Oklahoma,Other Identity Theft,"1,750",29%
Oklahoma,Phone or Utilities Fraud,526,9%
Oregon,Bank Fraud,"1,291",21%
Oregon,Credit Card Fraud,"2,322",37%
Oregon,Employment or Tax-Related Fraud,757,12%
Oregon,Government Documents or Benefits Fraud,332,5%
Oregon,Loan or Lease Fraud,578,9%
Oregon,Other Identity Theft,"1,308",21%
Oregon,Phone or Utilities Fraud,834,13%
Pennsylvania,Bank Fraud,"11,904",25%
Pennsylvania,Credit Card Fraud,"17,263",37%
Pennsylvania,Employment or Tax-Related Fraud,"2,419",5%
Pennsylvania,Government Documents or Benefits Fraud,"2,175",5%
Pennsylvania,Loan or Lease Fraud,"4,694",10%
Pennsylvania,Other Identity Theft,"13,476",29%
Pennsylvania,Phone or Utilities Fraud,"2,836",6%
Puerto Rico,Bank Fraud,49,3%
Puerto Rico,Credit Card Fraud,295,19%
Puerto Rico,Employment or Tax-Related Fraud,779,51%
Puerto Rico,Government Documents or Benefits Fraud,115,7%
Puerto Rico,Loan or Lease Fraud,105,7%
Puerto Rico,Other Identity Theft,236,15%
Puerto Rico,Phone or Utilities Fraud,82,5%
Rhode Island,Bank Fraud,404,17%
Rhode Island,Credit Card Fraud,847,35%
Rhode Island,Employment or Tax-Related Fraud,329,14%
Rhode Island,Government Documents or Benefits Fraud,325,13%
Rhode Island,Loan or Lease Fraud,196,8%
Rhode Island,Other Identity Theft,492,20%
Rhode Island,Phone or Utilities Fraud,145,6%
South Carolina,Bank Fraud,"3,265",18%
South Carolina,Credit Card Fraud,"5,772",32%
South Carolina,Employment or Tax-Related Fraud,899,5%
South Carolina,Government Documents or Benefits Fraud,344,2%
South Carolina,Loan or Lease Fraud,"2,583",14%
South Carolina,Other Identity Theft,"6,904",39%
South Carolina,Phone or Utilities Fraud,"1,230",7%
South Dakota,Bank Fraud,167,25%
South Dakota,Credit Card Fraud,230,34%
South Dakota,Employment or Tax-Related Fraud,82,12%
South Dakota,Government Documents or Benefits Fraud,28,4%
South Dakota,Loan or Lease Fraud,73,11%
South Dakota,Other Identity Theft,141,21%
South Dakota,Phone or Utilities Fraud,61,9%
Tennessee,Bank Fraud,"3,236",20%
Tennessee,Credit Card Fraud,"5,455",34%
Tennessee,Employment or Tax-Related Fraud,"1,256",8%
Tennessee,Government Documents or Benefits Fraud,592,4%
Tennessee,Loan or Lease Fraud,"2,220",14%
Tennessee,Other Identity Theft,"5,029",31%
Tennessee,Phone or Utilities Fraud,940,6%
Texas,Bank Fraud,"11,189",10%
Texas,Credit Card Fraud,"45,026",40%
Texas,Employment or Tax-Related Fraud,"8,704",8%
Texas,Government Documents or Benefits Fraud,"2,743",2%
Texas,Loan or Lease Fraud,"27,287",24%
Texas,Other Identity Theft,"37,642",33%
Texas,Phone or Utilities Fraud,"11,113",10%
Utah,Bank Fraud,805,15%
Utah,Credit Card Fraud,"1,844",33%
Utah,Employment or Tax-Related Fraud,544,10%
Utah,Government Documents or Benefits Fraud,546,10%
Utah,Loan or Lease Fraud,942,17%
Utah,Other Identity Theft,"1,775",32%
Utah,Phone or Utilities Fraud,324,6%
Vermont,Bank Fraud,152,27%
Vermont,Credit Card Fraud,221,39%
Vermont,Employment or Tax-Related Fraud,45,8%
Vermont,Government Documents or Benefits Fraud,28,5%
Vermont,Loan or Lease Fraud,59,10%
Vermont,Other Identity Theft,115,20%
Vermont,Phone or Utilities Fraud,45,8%
Virginia,Bank Fraud,"5,125",23%
Virginia,Credit Card Fraud,"7,806",35%
Virginia,Employment or Tax-Related Fraud,"1,532",7%
Virginia,Government Documents or Benefits Fraud,"1,916",9%
Virginia,Loan or Lease Fraud,"2,251",10%
Virginia,Other Identity Theft,"5,863",26%
Virginia,Phone or Utilities Fraud,"1,229",6%
Washington,Bank Fraud,"2,806",24%
Washington,Credit Card Fraud,"4,363",37%
Washington,Employment or Tax-Related Fraud,"1,318",11%
Washington,Government Documents or Benefits Fraud,684,6%
Washington,Loan or Lease Fraud,"1,253",11%
Washington,Other Identity Theft,"2,855",24%
Washington,Phone or Utilities Fraud,902,8%
West Virginia,Bank Fraud,"1,173",44%
West Virginia,Credit Card Fraud,712,27%
West Virginia,Employment or Tax-Related Fraud,252,9%
West Virginia,Government Documents or Benefits Fraud,106,4%
West Virginia,Loan or Lease Fraud,204,8%
West Virginia,Other Identity Theft,454,17%
West Virginia,Phone or Utilities Fraud,180,7%
Wisconsin,Bank Fraud,"1,477",18%
Wisconsin,Credit Card Fraud,"3,073",37%
Wisconsin,Employment or Tax-Related Fraud,775,9%
Wisconsin,Government Documents or Benefits Fraud,460,6%
Wisconsin,Loan or Lease Fraud,"1,067",13%
Wisconsin,Other Identity Theft,"2,352",28%
Wisconsin,Phone or Utilities Fraud,603,7%
Wyoming,Bank Fraud,102,18%
Wyoming,Credit Card Fraud,191,35%
Wyoming,Employment or Tax-Related Fraud,72,13%
Wyoming,Government Documents or Benefits Fraud,21,4%
Wyoming,Loan or Lease Fraud,55,10%
Wyoming,Other Identity Theft,149,27%
Wyoming,Phone or Utilities Fraud,54,10%
,,,
Percentages are based on the total number of 2022 Identity Theft reports from the corresponding state's consumers. Consumers can report multiple types of identity theft.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,
