State: Top Ten Report Categories,,,,,,,,
,,,,,,,,
State,Category,# of Reports,Percentage,,,,,
Minnesota,"Credit Bureaus, Information Furnishers and Report Users","3,673",7%,,,,,
Minnesota,Banks and Lenders,"3,318",7%,,,,,
Minnesota,"Prizes, Sweepstakes and Lotteries","2,191",4%,,,,,
Minnesota,Auto Related,"1,464",3%,,,,,
Minnesota,Internet Services,1348,3%,,,,,
Minnesota,Health Care,1265,3%,,,,,
Minnesota,Telephone and Mobile Services,1167,2%,,,,,
Mississippi,Identity Theft,"10,260",28%,,,,,
Mississippi,"Credit Bureaus, Information Furnishers and Report Users","8,173",23%,,,,,
Mississippi,Imposter Scams,"3,222",9%,,,,,
Mississippi,Banks and Lenders,"1,772",5%,,,,,
Mississippi,Online Shopping and Negative Reviews,"1,568",4%,,,,,
Mississippi,"Prizes, Sweepstakes and Lotteries","1,353",4%,,,,,
Mississippi,Auto Related,1160,3%,,,,,
Mississippi,Debt Collection,1001,3%,,,,,
Mississippi,Telephone and Mobile Services,702,2%,,,,,
Mississippi,Credit Cards,597,2%,,,,,
Missouri,Identity Theft,"12,089",18%,,,,,
Missouri,Imposter Scams,"9,029",13%,,,,,
Missouri,"Credit Bureaus, Information Furnishers and Report Users","8,748",13%,,,,,
Missouri,Online Shopping and Negative Reviews,"4,682",7%,,,,,
Missouri,Banks and Lenders,"3,903",6%,,,,,
Missouri,Auto Related,"3,030",4%,,,,,
Missouri,"Prizes, Sweepstakes and Lotteries","2,989",4%,,,,,
Missouri,Telephone and Mobile Services,"1,827",3%,,,,,
Missouri,Debt Collection,"1,826",3%,,,,,
Missouri,Internet Services,1702,2%,,,,,
Montana,Imposter Scams,"1,844",20%,,,,,
Montana,Identity Theft,1123,12%,,,,,
Montana,Online Shopping and Negative Reviews,831,9%,,,,,
Montana,"Prizes, Sweepstakes and Lotteries",614,7%,,,,,
Montana,Banks and Lenders,510,6%,,,,,
Montana,"Credit Bureaus, Information Furnishers and Report Users",470,5%,,,,,
Montana,Auto Related,333,4%,,,,,
Montana,Internet Services,267,3%,,,,,
Montana,Telephone and Mobile Services,215,2%,,,,,
Montana,Credit Cards,205,2%,,,,,
Nebraska,Imposter Scams,"2,983",19%,,,,,
Nebraska,Identity Theft,"2,019",13%,,,,,
Nebraska,Online Shopping and Negative Reviews,1208,8%,,,,,
Nebraska,"Credit Bureaus, Information Furnishers and Report Users",1010,7%,,,,,
Nebraska,Banks and Lenders,927,6%,,,,,
Nebraska,"Prizes, Sweepstakes and Lotteries",895,6%,,,,,
Nebraska,Auto Related,478,3%,,,,,
Nebraska,Internet Services,446,3%,,,,,
Nebraska,Mortgage Foreclosure Relief and Debt Management,403,3%,,,,,
Nebraska,Health Care,389,3%,,,,,
Nevada,Identity Theft,"12,672",22%,,,,,
Nevada,"Credit Bureaus, Information Furnishers and Report Users","10,198",18%,,,,,
Nevada,Imposter Scams,"6,136",11%,,,,,
Nevada,Online Shopping and Negative Reviews,"2,770",5%,,,,,
Nevada,Banks and Lenders,"2,729",5%,,,,,
Nevada,Auto Related,"2,605",5%,,,,,
Nevada,Debt Collection,"1,565",3%,,,,,
Nevada,"Prizes, Sweepstakes and Lotteries","1,550",3%,,,,,
Nevada,"Home Repair, Improvement and Products",1290,2%,,,,,
Nevada,Health Care,1286,2%,,,,,
New Hampshire,Imposter Scams,"2,595",19%,,,,,
New Hampshire,Identity Theft,"1,892",14%,,,,,
New Hampshire,Online Shopping and Negative Reviews,1315,10%,,,,,
New Hampshire,Banks and Lenders,951,7%,,,,,
New Hampshire,Auto Related,604,4%,,,,,
New Hampshire,"Credit Bureaus, Information Furnishers and Report Users",486,4%,,,,,
New Hampshire,"Prizes, Sweepstakes and Lotteries",482,4%,,,,,
New Hampshire,Health Care,426,3%,,,,,
New Hampshire,Internet Services,394,3%,,,,,
New Hampshire,Telephone and Mobile Services,302,2%,,,,,
New Jersey,Identity Theft,"28,712",23%,,,,,
New Jersey,"Credit Bureaus, Information Furnishers and Report Users","21,057",17%,,,,,
New Jersey,Imposter Scams,"14,705",12%,,,,,
New Jersey,Banks and Lenders,"7,502",6%,,,,,
New Jersey,Online Shopping and Negative Reviews,"7,161",6%,,,,,
New Jersey,Auto Related,"3,829",3%,,,,,
New Jersey,Debt Collection,"3,165",3%,,,,,
New Jersey,Credit Cards,"3,045",2%,,,,,
New Jersey,Internet Services,"3,004",2%,,,,,
New Jersey,"Prizes, Sweepstakes and Lotteries","2,833",2%,,,,,
New Mexico,Imposter Scams,"4,030",20%,,,,,
New Mexico,Identity Theft,"3,188",16%,,,,,
New Mexico,Online Shopping and Negative Reviews,1494,7%,,,,,
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",1230,6%,,,,,
New Mexico,"Prizes, Sweepstakes and Lotteries",1167,6%,,,,,
New Mexico,Banks and Lenders,1112,5%,,,,,
New Mexico,Auto Related,735,4%,,,,,
New Mexico,Health Care,471,2%,,,,,
New Mexico,Debt Collection,448,2%,,,,,
New Mexico,Business and Job Opportunities,428,2%,,,,,
New York,Identity Theft,"60,835",24%,,,,,
New York,"Credit Bureaus, Information Furnishers and Report Users","40,289",16%,,,,,
New York,Imposter Scams,"30,721",12%,,,,,
New York,Online Shopping and Negative Reviews,"15,919",6%,,,,,
New York,Banks and Lenders,"14,660",6%,,,,,
New York,Credit Cards,"6,766",3%,,,,,
New York,Internet Services,"6,709",3%,,,,,
New York,Auto Related,"6,678",3%,,,,,
New York,"Prizes, Sweepstakes and Lotteries","5,596",2%,,,,,
New York,Telephone and Mobile Services,"5,046",2%,,,,,
North Carolina,Identity Theft,"31,609",22%,,,,,
North Carolina,"Credit Bureaus, Information Furnishers and Report Users","26,221",19%,,,,,
North Carolina,Imposter Scams,"15,925",11%,,,,,
North Carolina,Online Shopping and Negative Reviews,"8,048",6%,,,,,
North Carolina,Banks and Lenders,"7,302",5%,,,,,
North Carolina,"Prizes, Sweepstakes and Lotteries","5,009",4%,,,,,
North Carolina,Auto Related,"4,557",3%,,,,,
North Carolina,Debt Collection,"3,594",3%,,,,,
North Carolina,Internet Services,"2,964",2%,,,,,
North Carolina,Health Care,"2,803",2%,,,,,
North Dakota,Imposter Scams,904,18%,,,,,
North Dakota,Identity Theft,848,17%,,,,,
North Dakota,Online Shopping and Negative Reviews,425,9%,,,,,
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",333,7%,,,,,
North Dakota,"Prizes, Sweepstakes and Lotteries",277,6%,,,,,
North Dakota,Banks and Lenders,270,5%,,,,,
North Dakota,Auto Related,161,3%,,,,,
North Dakota,Debt Collection,145,3%,,,,,
North Dakota,Business and Job Opportunities,111,2%,,,,,
North Dakota,Internet Services,107,2%,,,,,
Ohio,Identity Theft,"30,950",23%,,,,,
Ohio,Imposter Scams,"17,105",13%,,,,,
