Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2021,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"8,089",0.14%
2021,Charitable Solicitations,Charitable Solicitations,"9,534",0.16%
2021,Computer Equipment and Software,Computer Equipment & Software,"17,341",0.29%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"593,093",9.94%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,"1,954",0.03%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,748,0.01%
2021,Credit Cards,Credit Cards,"73,909",1.24%
2021,Debt Collection,Creditor Debt Collection,"58,189",0.98%
2021,Debt Collection,Third Party Debt Collection,"100,055",1.68%
2021,Education,Colleges & Universities,"22,834",0.38%
2021,Education,Trade & Vocational Schools,"3,333",0.06%
2021,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,665",0.61%
2021,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,447",0.04%
2021,Funeral Services,Funeral Services,"1,579",0.03%
2021,Grants,Non-Educational Grants,"4,030",0.07%
2021,Grants,Scholarships & Educational Grants,309,0.01%
2021,Health Care,Connected Wearable Devices*,55,0.00%
2021,Health Care,"Diet Products, Plans & Centers","30,036",0.50%
2021,Health Care,Eye Care*,"5,732",0.10%
2021,Health Care,Health Care Billing,"2,064",0.03%
2021,Health Care,Medical Insurance & Discount Plans,"6,320",0.11%
2021,Health Care,Medical Treatments & Cures‡,"41,131",0.69%
2021,Health Care,Misc. Medical*‡,"21,672",0.36%
2021,"Home Repair, Improvement and Products",Home Appliances,"4,242",0.07%
2021,"Home Repair, Improvement and Products",Home Furnishings,"5,254",0.09%
2021,"Home Repair, Improvement and Products",Home Protection Devices,"1,076",0.02%
2021,"Home Repair, Improvement and Products",Home Repair,"16,760",0.28%
2021,"Home Repair, Improvement and Products",Home Warranties‡,"30,325",0.51%
2021,"Home Repair, Improvement and Products",Housing,"31,975",0.54%
2021,Identity Theft,Identity Theft,"1,434,693",24.05%
2021,Imposter Scams,Business Imposters,"399,333",6.69%
2021,Imposter Scams,Family & Friend Imposters,"36,270",0.61%
2021,Imposter Scams,Government Imposters,"396,832",6.65%
2021,Imposter Scams,Romance Scams,"79,707",1.34%
2021,Imposter Scams,Tech Support Scams,"116,819",1.96%
2021,Internet Services,Broadband Internet Access*,"5,425",0.09%
2021,Internet Services,Broadband Internet Cost*,"7,514",0.13%
2021,Internet Services,Broadband Internet Speed*,"1,622",0.03%
2021,Internet Services,Gaming & Virtual Reality*,"6,507",0.11%
2021,Internet Services,Online Payment Services,"50,884",0.85%
2021,Internet Services,Social Networking Services,"32,577",0.55%
2021,Internet Services,Website Content‡,"20,790",0.35%
2021,Internet Services,Website Design & Promotion,"3,909",0.07%
2021,Investment Related,"Art, Gems & Rare Coin Investments","1,545",0.03%
2021,Investment Related,Investment Seminars & Advice,"3,920",0.07%
2021,Investment Related,Miscellaneous Investments,"73,002",1.22%
2021,Investment Related,Stocks & Commodity Futures Trading,"4,118",0.07%
2021,Magazines and Books,Books & Magazines,"6,850",0.11%
2021,Miscellaneous Reports,Business Equipment & Facilities Leasing,200,0.00%
2021,Miscellaneous Reports,Children's Products,"1,738",0.03%
2021,Miscellaneous Reports,Food,"2,452",0.04%
2021,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles","1,100",0.02%
2021,Miscellaneous Reports,Immigration Services,572,0.01%
2021,Miscellaneous Reports,Insurance (excl. Medical),"7,122",0.12%
2021,Miscellaneous Reports,Jewelry & Watches,"6,039",0.10%
2021,Miscellaneous Reports,Personal Care Products,"3,206",0.05%
2021,Miscellaneous Reports,Property & Inheritance Tracers,838,0.01%
2021,Miscellaneous Reports,Real Estate,"21,732",0.36%
2021,Miscellaneous Reports,Tobacco Products,"1,118",0.02%
2021,Miscellaneous Reports,Utilities,"4,906",0.08%
2021,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"21,423",0.36%
2021,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,692,0.01%
2021,Office Supplies and Services,Office Directory Listings & Ad Space,"2,346",0.04%
2021,Office Supplies and Services,Office Supplies & Services,"2,214",0.04%
2021,Online Shopping and Negative Reviews,Negative Online Reviews*,469,0.01%
2021,Online Shopping and Negative Reviews,Online Shopping,"422,137",7.08%
2021,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"54,869",0.92%
2021,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security‡,"19,592",0.33%
2021,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","154,816",2.60%
2021,Tax Preparers,Tax Preparers,"6,311",0.11%
2021,Telephone and Mobile Services,Connected Non-Wearable Devices*,89,0.00%
2021,Telephone and Mobile Services,Phone Billing‡,"17,897",0.30%
2021,Telephone and Mobile Services,Phone Carrier Switching,157,0.00%
2021,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","80,173",1.34%
2021,Telephone and Mobile Services,Prepaid Phone Cards,"1,259",0.02%
2021,Television and Electronic Media,Cable & Satellite TV,"39,510",0.66%
2021,Television and Electronic Media,Streaming & Digital Media,"2,100",0.04%
2021,Television and Electronic Media,TV Programming & Ads,"2,175",0.04%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,870",0.05%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"9,249",0.16%
2021,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"59,946",1.00%
2021,Unspecified Reports,Other Misc.,"538,375",9.03%
2021,Unspecified Reports,Unsolicited Email,"171,468",2.87%
2021,Unspecified Reports,Unsolicited Text Messages,"294,655",4.94%
