Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
166,"Rochester, NY Metropolitan Statistical Area",866,"9,282"
167,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",865,"10,426"
168,"Champaign-Urbana, IL Metropolitan Statistical Area",864,"1,957"
169,"Jackson, TN Metropolitan Statistical Area",864,"1,543"
170,"Valdosta, GA Metropolitan Statistical Area",864,"1,265"
171,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",862,"31,097"
172,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",862,"7,293"
173,"Topeka, KS Metropolitan Statistical Area",862,"2,003"
174,"Salt Lake City, UT Metropolitan Statistical Area",860,"10,458"
175,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",860,"19,036"
176,"Brunswick, GA Metropolitan Statistical Area",853,"1,008"
177,"Madison, WI Metropolitan Statistical Area",852,"5,622"
178,"Oklahoma City, OK Metropolitan Statistical Area",851,"11,891"
179,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",849,"1,274"
180,"Las Cruces, NM Metropolitan Statistical Area",848,"1,845"
181,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",846,"3,336"
182,"Racine, WI Metropolitan Statistical Area",846,"1,657"
183,"Ithaca, NY Metropolitan Statistical Area",845,864
184,"Springfield, MO Metropolitan Statistical Area",845,"3,943"
185,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",844,"2,384"
186,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",843,"9,519"
187,"Tyler, TX Metropolitan Statistical Area",841,"1,936"
188,"Norwich-New London, CT Metropolitan Statistical Area",838,"2,237"
189,"Reading, PA Metropolitan Statistical Area",836,"3,503"
190,"Stockton, CA Metropolitan Statistical Area",836,"6,281"
191,"Providence-Warwick, RI-MA Metropolitan Statistical Area",835,"13,537"
192,"Syracuse, NY Metropolitan Statistical Area",832,"5,408"
