State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Colorado,"Privacy, Data Security, and Cyber Threats","2,254",3%
Colorado,Auto Related,"1,940",3%
Colorado,"Prizes, Sweepstakes and Lotteries","1,855",3%
Colorado,Health Care,"1,588",2%
Connecticut,Identity Theft,"6,821",19%
Connecticut,Imposter Scams,"3,924",11%
Connecticut,Online Shopping and Negative Reviews,"3,192",9%
Connecticut,Banks and Lenders,"1,897",5%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users","1,868",5%
Connecticut,Internet Services,"1,644",5%
Connecticut,Auto Related,"1,303",4%
Connecticut,Health Care,918,3%
Connecticut,"Prizes, Sweepstakes and Lotteries",876,2%
Connecticut,"Privacy, Data Security, and Cyber Threats",864,2%
Delaware,Identity Theft,"4,374",29%
Delaware,Imposter Scams,"1,376",9%
Delaware,"Credit Bureaus, Information Furnishers and Report Users",1363,9%
Delaware,Online Shopping and Negative Reviews,1118,7%
Delaware,Banks and Lenders,697,5%
Delaware,Debt Collection,585,4%
Delaware,Internet Services,461,3%
Delaware,"Prizes, Sweepstakes and Lotteries",434,3%
Delaware,Auto Related,393,3%
Delaware,Credit Cards,344,2%
District of Columbia,Identity Theft,"2,595",22%
District of Columbia,Imposter Scams,"1,289",11%
District of Columbia,"Credit Bureaus, Information Furnishers and Report Users",1152,10%
District of Columbia,Online Shopping and Negative Reviews,910,8%
District of Columbia,Banks and Lenders,739,6%
District of Columbia,Internet Services,438,4%
District of Columbia,Debt Collection,327,3%
District of Columbia,Auto Related,324,3%
District of Columbia,"Privacy, Data Security, and Cyber Threats",296,2%
District of Columbia,Credit Cards,288,2%
Florida,Identity Theft,"101,367",30%
Florida,"Credit Bureaus, Information Furnishers and Report Users","46,607",14%
Florida,Imposter Scams,"30,086",9%
Florida,Online Shopping and Negative Reviews,"19,002",6%
Florida,Banks and Lenders,"13,608",4%
Florida,Debt Collection,"11,717",3%
Florida,Auto Related,"9,602",3%
Florida,Internet Services,"9,122",3%
Florida,"Prizes, Sweepstakes and Lotteries","7,521",2%
Florida,Health Care,"6,213",2%
Georgia,Identity Theft,"69,487",39%
Georgia,"Credit Bureaus, Information Furnishers and Report Users","20,622",12%
Georgia,Imposter Scams,"11,091",6%
Georgia,Online Shopping and Negative Reviews,"8,612",5%
Georgia,Debt Collection,"7,440",4%
Georgia,Banks and Lenders,"7,022",4%
Georgia,Auto Related,"4,657",3%
Georgia,Internet Services,"4,190",2%
Georgia,Telephone and Mobile Services,"3,194",2%
Georgia,"Prizes, Sweepstakes and Lotteries","2,830",2%
Hawaii,Identity Theft,"3,835",28%
Hawaii,Imposter Scams,"1,505",11%
Hawaii,Online Shopping and Negative Reviews,1197,9%
Hawaii,"Prizes, Sweepstakes and Lotteries",606,4%
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",538,4%
Hawaii,Internet Services,508,4%
Hawaii,Banks and Lenders,458,3%
Hawaii,"Privacy, Data Security, and Cyber Threats",335,2%
Hawaii,Auto Related,295,2%
Hawaii,Debt Collection,284,2%
Idaho,Identity Theft,"2,353",17%
Idaho,Imposter Scams,"1,860",14%
Idaho,Online Shopping and Negative Reviews,1397,10%
Idaho,"Prizes, Sweepstakes and Lotteries",707,5%
Idaho,Banks and Lenders,581,4%
Idaho,Internet Services,546,4%
Idaho,Auto Related,407,3%
Idaho,"Credit Bureaus, Information Furnishers and Report Users",390,3%
Idaho,Telephone and Mobile Services,339,2%
Idaho,Debt Collection,323,2%
Illinois,Identity Theft,"135,038",57%
Illinois,Imposter Scams,"13,851",6%
Illinois,Online Shopping and Negative Reviews,"10,535",4%
Illinois,"Credit Bureaus, Information Furnishers and Report Users","10,213",4%
Illinois,Banks and Lenders,"6,150",3%
Illinois,Internet Services,"4,776",2%
Illinois,Auto Related,"3,574",2%
Illinois,Debt Collection,"3,445",1%
Illinois,Telephone and Mobile Services,"3,215",1%
Illinois,"Prizes, Sweepstakes and Lotteries","2,995",1%
Indiana,Identity Theft,"17,306",28%
Indiana,Imposter Scams,"7,429",12%
Indiana,Online Shopping and Negative Reviews,"5,211",8%
Indiana,"Prizes, Sweepstakes and Lotteries","2,364",4%
Indiana,"Credit Bureaus, Information Furnishers and Report Users","2,347",4%
Indiana,Banks and Lenders,"2,301",4%
Indiana,Internet Services,"2,170",4%
Indiana,Auto Related,"1,588",3%
Indiana,Debt Collection,"1,443",2%
Indiana,Telephone and Mobile Services,1371,2%
Iowa,Imposter Scams,"3,082",16%
Iowa,Identity Theft,"3,022",15%
Iowa,Online Shopping and Negative Reviews,"2,124",11%
Iowa,"Prizes, Sweepstakes and Lotteries",1028,5%
Iowa,Internet Services,726,4%
Iowa,Banks and Lenders,725,4%
Iowa,Auto Related,551,3%
Iowa,"Credit Bureaus, Information Furnishers and Report Users",549,3%
Iowa,Debt Collection,469,2%
Iowa,Telephone and Mobile Services,428,2%
Kansas,Identity Theft,"43,211",67%
Kansas,Imposter Scams,"3,505",5%
Kansas,Online Shopping and Negative Reviews,"2,052",3%
Kansas,"Prizes, Sweepstakes and Lotteries","1,308",2%
Kansas,Internet Services,832,1%
Kansas,Banks and Lenders,777,1%
Kansas,"Credit Bureaus, Information Furnishers and Report Users",661,1%
Kansas,Auto Related,658,1%
Kansas,Debt Collection,618,1%
Kansas,Health Care,556,1%
Kentucky,Identity Theft,"5,693",16%
Kentucky,Imposter Scams,"4,730",13%
Kentucky,Online Shopping and Negative Reviews,"3,450",10%
Kentucky,"Prizes, Sweepstakes and Lotteries","1,859",5%
Kentucky,Internet Services,"1,454",4%
Kentucky,Banks and Lenders,"1,379",4%
Kentucky,"Credit Bureaus, Information Furnishers and Report Users","1,132",3%
Kentucky,Auto Related,"1,123",3%
Kentucky,Telephone and Mobile Services,1010,3%
Kentucky,Debt Collection,932,3%
Louisiana,Identity Theft,"21,976",39%
Louisiana,"Credit Bureaus, Information Furnishers and Report Users","5,818",10%
Louisiana,Imposter Scams,"4,110",7%
Louisiana,Online Shopping and Negative Reviews,"3,019",5%
Louisiana,Debt Collection,"2,013",4%
Louisiana,Banks and Lenders,"1,964",4%
Louisiana,Internet Services,"1,229",2%
Louisiana,Auto Related,"1,195",2%
Louisiana,"Prizes, Sweepstakes and Lotteries",1157,2%
Louisiana,Telephone and Mobile Services,962,2%
Maine,Identity Theft,"7,183",46%
Maine,Imposter Scams,1549,10%
Maine,Online Shopping and Negative Reviews,1244,8%
Maine,"Prizes, Sweepstakes and Lotteries",680,4%
Maine,Banks and Lenders,450,3%
Maine,Internet Services,377,2%
Maine,Auto Related,261,2%
Maine,Debt Collection,246,2%
Maine,Health Care,216,1%
Maine,"Travel, Vacations and Timeshare Plans",211,1%
Maryland,Identity Theft,"20,718",25%
Maryland,Imposter Scams,"8,550",10%
Maryland,Online Shopping and Negative Reviews,"6,364",8%
Maryland,"Credit Bureaus, Information Furnishers and Report Users","6,218",7%
Maryland,Banks and Lenders,"4,224",5%
Maryland,Internet Services,"2,740",3%
Maryland,Auto Related,"2,402",3%
Maryland,Debt Collection,"2,394",3%
Maryland,"Prizes, Sweepstakes and Lotteries","2,231",3%
Maryland,"Privacy, Data Security, and Cyber Threats","1,933",2%
Massachusetts,Identity Theft,"45,575",46%
Massachusetts,Imposter Scams,"8,403",9%
Massachusetts,Online Shopping and Negative Reviews,"6,769",7%
Massachusetts,"Credit Bureaus, Information Furnishers and Report Users","4,106",4%
Massachusetts,Banks and Lenders,"2,909",3%
Massachusetts,Debt Collection,"2,548",3%
Massachusetts,Internet Services,"2,302",2%
Massachusetts,Auto Related,"2,013",2%
Massachusetts,Credit Cards,"1,909",2%
Massachusetts,"Prizes, Sweepstakes and Lotteries","1,683",2%
Michigan,Identity Theft,"24,370",25%
Michigan,Imposter Scams,"12,084",13%
Michigan,Online Shopping and Negative Reviews,"8,480",9%
Michigan,"Credit Bureaus, Information Furnishers and Report Users","4,828",5%
Michigan,Banks and Lenders,"3,587",4%
Michigan,Internet Services,"3,537",4%
Michigan,"Prizes, Sweepstakes and Lotteries","3,060",3%
Michigan,Debt Collection,"2,754",3%
Michigan,Telephone and Mobile Services,"2,245",2%
Michigan,Auto Related,"2,112",2%
Minnesota,Identity Theft,"8,246",17%
Minnesota,Imposter Scams,"6,740",14%
Minnesota,Online Shopping and Negative Reviews,"4,421",9%
Minnesota,"Prizes, Sweepstakes and Lotteries","2,030",4%
Minnesota,Banks and Lenders,"1,901",4%
Minnesota,"Credit Bureaus, Information Furnishers and Report Users","1,849",4%
Minnesota,Internet Services,"1,693",4%
Minnesota,"Privacy, Data Security, and Cyber Threats",1429,3%
Minnesota,Debt Collection,1137,2%
Minnesota,Auto Related,1058,2%
Mississippi,Identity Theft,"11,048",36%
Mississippi,"Credit Bureaus, Information Furnishers and Report Users","2,718",9%
Mississippi,Imposter Scams,"2,581",8%
Mississippi,Online Shopping and Negative Reviews,"1,954",6%
Mississippi,Banks and Lenders,"1,065",3%
Mississippi,"Prizes, Sweepstakes and Lotteries","1,052",3%
Mississippi,Auto Related,787,3%
Mississippi,Debt Collection,749,2%
Mississippi,Internet Services,713,2%
Mississippi,Telephone and Mobile Services,650,2%
Missouri,Identity Theft,"13,653",22%
Missouri,Imposter Scams,"7,081",11%
Missouri,Online Shopping and Negative Reviews,"5,398",9%
Missouri,"Credit Bureaus, Information Furnishers and Report Users","3,460",6%
Missouri,"Prizes, Sweepstakes and Lotteries","2,667",4%
Missouri,Banks and Lenders,"2,484",4%
Missouri,Auto Related,"2,252",4%
Missouri,Debt Collection,"2,041",3%
Missouri,Internet Services,"1,934",3%
Missouri,Telephone and Mobile Services,1740,3%
Montana,Identity Theft,"2,439",25%
Montana,Imposter Scams,1275,13%
Montana,Online Shopping and Negative Reviews,774,8%
Montana,"Prizes, Sweepstakes and Lotteries",626,7%
Montana,Banks and Lenders,295,3%
Montana,Internet Services,268,3%
Montana,Auto Related,218,2%
Montana,"Credit Bureaus, Information Furnishers and Report Users",183,2%
Montana,Debt Collection,180,2%
Montana,"Privacy, Data Security, and Cyber Threats",172,2%
Nebraska,Identity Theft,"2,182",16%
Nebraska,Imposter Scams,"1,981",14%
Nebraska,Online Shopping and Negative Reviews,1338,10%
Nebraska,"Prizes, Sweepstakes and Lotteries",782,6%
Nebraska,Internet Services,585,4%
Nebraska,Banks and Lenders,499,4%
Nebraska,Debt Collection,388,3%
Nebraska,Auto Related,369,3%
Nebraska,"Credit Bureaus, Information Furnishers and Report Users",349,3%
Nebraska,Health Care,344,2%
Nevada,Identity Theft,"22,801",39%
Nevada,"Credit Bureaus, Information Furnishers and Report Users","4,615",8%
Nevada,Imposter Scams,"4,594",8%
Nevada,Online Shopping and Negative Reviews,"3,062",5%
Nevada,Banks and Lenders,"1,946",3%
Nevada,Debt Collection,"1,676",3%
Nevada,Internet Services,"1,630",3%
Nevada,Auto Related,"1,523",3%
Nevada,"Privacy, Data Security, and Cyber Threats",1090,2%
Nevada,"Prizes, Sweepstakes and Lotteries",941,2%
New Hampshire,Identity Theft,"2,301",19%
New Hampshire,Imposter Scams,"1,629",13%
New Hampshire,Online Shopping and Negative Reviews,1481,12%
New Hampshire,Banks and Lenders,596,5%
New Hampshire,"Prizes, Sweepstakes and Lotteries",544,4%
New Hampshire,Internet Services,483,4%
New Hampshire,Auto Related,467,4%
New Hampshire,Health Care,334,3%
New Hampshire,"Travel, Vacations and Timeshare Plans",292,2%
New Hampshire,Debt Collection,284,2%
New Jersey,Identity Theft,"32,125",29%
New Jersey,Imposter Scams,"9,946",9%
New Jersey,"Credit Bureaus, Information Furnishers and Report Users","9,517",9%
New Jersey,Online Shopping and Negative Reviews,"8,370",8%
New Jersey,Banks and Lenders,"5,256",5%
New Jersey,Internet Services,"3,702",3%
New Jersey,Debt Collection,"3,227",3%
New Jersey,Auto Related,"3,005",3%
New Jersey,Credit Cards,"2,455",2%
New Jersey,Health Care,"2,315",2%
New Mexico,Identity Theft,"3,454",18%
New Mexico,Imposter Scams,"3,033",16%
New Mexico,Online Shopping and Negative Reviews,1589,8%
New Mexico,"Prizes, Sweepstakes and Lotteries",937,5%
New Mexico,Banks and Lenders,705,4%
New Mexico,Internet Services,687,4%
New Mexico,"Privacy, Data Security, and Cyber Threats",639,3%
New Mexico,Auto Related,549,3%
New Mexico,Debt Collection,524,3%
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",523,3%
New York,Identity Theft,"67,202",28%
New York,Imposter Scams,"25,048",11%
New York,"Credit Bureaus, Information Furnishers and Report Users","20,702",9%
New York,Online Shopping and Negative Reviews,"18,762",8%
New York,Banks and Lenders,"9,149",4%
New York,Internet Services,"8,424",4%
New York,Debt Collection,"6,088",3%
New York,Auto Related,"5,879",2%
New York,Credit Cards,"5,063",2%
New York,Health Care,"4,945",2%
North Carolina,Identity Theft,"30,176",26%
North Carolina,Imposter Scams,"11,992",10%
North Carolina,"Credit Bureaus, Information Furnishers and Report Users","9,304",8%
North Carolina,Online Shopping and Negative Reviews,"8,850",8%
North Carolina,Banks and Lenders,"4,741",4%
North Carolina,"Prizes, Sweepstakes and Lotteries","4,447",4%
North Carolina,Internet Services,"3,731",3%
North Carolina,Auto Related,"3,408",3%
North Carolina,Debt Collection,"3,345",3%
North Carolina,Telephone and Mobile Services,"2,523",2%
North Dakota,Identity Theft,1266,27%
North Dakota,Imposter Scams,640,13%
North Dakota,Online Shopping and Negative Reviews,434,9%
North Dakota,"Prizes, Sweepstakes and Lotteries",231,5%
North Dakota,Internet Services,155,3%
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",131,3%
North Dakota,Banks and Lenders,127,3%
North Dakota,Auto Related,121,3%
North Dakota,Health Care,106,2%
North Dakota,Debt Collection,99,2%
Ohio,Identity Theft,"25,893",23%
Ohio,Imposter Scams,"13,209",12%
Ohio,Online Shopping and Negative Reviews,"9,711",8%
Ohio,"Credit Bureaus, Information Furnishers and Report Users","6,418",6%
Ohio,Banks and Lenders,"5,115",4%
Ohio,Auto Related,"4,246",4%
Ohio,"Prizes, Sweepstakes and Lotteries","4,000",3%
Ohio,Internet Services,"3,999",3%
Ohio,Debt Collection,"3,701",3%
Ohio,Telephone and Mobile Services,"2,862",2%
Oklahoma,Identity Theft,"13,797",37%
Oklahoma,Imposter Scams,"3,579",10%
Oklahoma,Online Shopping and Negative Reviews,"2,539",7%
Oklahoma,"Prizes, Sweepstakes and Lotteries","1,438",4%
Oklahoma,Banks and Lenders,"1,208",3%
Oklahoma,Debt Collection,1062,3%
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users",1012,3%
Oklahoma,Internet Services,986,3%
Oklahoma,Auto Related,971,3%
Oklahoma,Telephone and Mobile Services,733,2%
Oregon,Identity Theft,"7,432",18%
Oregon,Imposter Scams,"5,773",14%
Oregon,Online Shopping and Negative Reviews,"4,054",10%
Oregon,"Prizes, Sweepstakes and Lotteries","1,894",5%
Oregon,Internet Services,"1,756",4%
Oregon,Banks and Lenders,"1,707",4%
Oregon,"Privacy, Data Security, and Cyber Threats","1,496",4%
Oregon,Health Care,991,2%
Oregon,"Credit Bureaus, Information Furnishers and Report Users",931,2%
Oregon,Telephone and Mobile Services,928,2%
Pennsylvania,Identity Theft,"33,886",23%
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users","16,676",11%
Pennsylvania,Imposter Scams,"14,315",10%
Pennsylvania,Online Shopping and Negative Reviews,"12,634",9%
Pennsylvania,Banks and Lenders,"6,251",4%
Pennsylvania,Internet Services,"5,148",4%
Pennsylvania,"Prizes, Sweepstakes and Lotteries","4,198",3%
Pennsylvania,Debt Collection,"3,765",3%
Pennsylvania,Auto Related,"3,670",3%
Pennsylvania,"Privacy, Data Security, and Cyber Threats","3,156",2%
Puerto Rico,Identity Theft,"1,663",21%
Puerto Rico,Imposter Scams,1347,17%
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users",989,13%
Puerto Rico,Online Shopping and Negative Reviews,662,9%
Puerto Rico,Banks and Lenders,322,4%
Puerto Rico,"Privacy, Data Security, and Cyber Threats",230,3%
Puerto Rico,Internet Services,222,3%
Puerto Rico,Advance Payments for Credit Services,157,2%
Puerto Rico,Debt Collection,156,2%
Puerto Rico,Education,151,2%
Rhode Island,Identity Theft,"12,621",61%
Rhode Island,Imposter Scams,"1,335",6%
Rhode Island,Online Shopping and Negative Reviews,1072,5%
Rhode Island,Banks and Lenders,480,2%
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",403,2%
Rhode Island,Internet Services,350,2%
Rhode Island,"Prizes, Sweepstakes and Lotteries",345,2%
Rhode Island,Debt Collection,320,2%
Rhode Island,Auto Related,307,1%
Rhode Island,Health Care,230,1%
South Carolina,Identity Theft,"19,193",30%
South Carolina,"Credit Bureaus, Information Furnishers and Report Users","5,853",9%
South Carolina,Imposter Scams,"5,686",9%
South Carolina,Online Shopping and Negative Reviews,"4,207",7%
South Carolina,Banks and Lenders,"2,394",4%
South Carolina,"Prizes, Sweepstakes and Lotteries","2,188",3%
South Carolina,Debt Collection,"2,140",3%
South Carolina,Auto Related,"2,021",3%
South Carolina,Internet Services,"1,681",3%
South Carolina,Telephone and Mobile Services,1207,2%
South Dakota,Identity Theft,637,14%
South Dakota,Imposter Scams,637,14%
South Dakota,Online Shopping and Negative Reviews,482,10%
South Dakota,"Prizes, Sweepstakes and Lotteries",362,8%
South Dakota,Banks and Lenders,209,4%
South Dakota,Debt Collection,205,4%
South Dakota,Internet Services,187,4%
South Dakota,Auto Related,124,3%
South Dakota,Health Care,111,2%
South Dakota,"Credit Bureaus, Information Furnishers and Report Users",107,2%
Tennessee,Identity Theft,"19,182",25%
Tennessee,"Credit Bureaus, Information Furnishers and Report Users","9,374",12%
Tennessee,Imposter Scams,"7,920",10%
Tennessee,Online Shopping and Negative Reviews,"5,564",7%
Tennessee,Banks and Lenders,"2,861",4%
Tennessee,"Prizes, Sweepstakes and Lotteries","2,660",3%
Tennessee,Debt Collection,"2,422",3%
Tennessee,Internet Services,"2,307",3%
Tennessee,Auto Related,"2,237",3%
Tennessee,Telephone and Mobile Services,1572,2%
Texas,Identity Theft,"134,788",36%
Texas,"Credit Bureaus, Information Furnishers and Report Users","37,194",10%
Texas,Imposter Scams,"30,226",8%
Texas,Online Shopping and Negative Reviews,"20,237",5%
Texas,Debt Collection,"14,690",4%
Texas,Banks and Lenders,"12,094",3%
Texas,Internet Services,"9,356",3%
Texas,Auto Related,"9,080",2%
Texas,"Prizes, Sweepstakes and Lotteries","7,546",2%
Texas,Telephone and Mobile Services,"6,181",2%
Utah,Identity Theft,"9,366",29%
Utah,Imposter Scams,"3,294",10%
Utah,"Credit Bureaus, Information Furnishers and Report Users","2,404",8%
Utah,Online Shopping and Negative Reviews,"2,263",7%
Utah,Internet Services,953,3%
Utah,"Prizes, Sweepstakes and Lotteries",946,3%
Utah,"Privacy, Data Security, and Cyber Threats",918,3%
Utah,Banks and Lenders,894,3%
Utah,Health Care,754,2%
Utah,Auto Related,723,2%
Vermont,Identity Theft,810,16%
Vermont,Imposter Scams,781,15%
Vermont,Online Shopping and Negative Reviews,563,11%
Vermont,Internet Services,269,5%
Vermont,"Prizes, Sweepstakes and Lotteries",249,5%
Vermont,Banks and Lenders,224,4%
Vermont,"Privacy, Data Security, and Cyber Threats",164,3%
Vermont,Auto Related,150,3%
Vermont,Telephone and Mobile Services,131,3%
Vermont,Health Care,120,2%
Virginia,Identity Theft,"15,632",16%
Virginia,Imposter Scams,"12,218",13%
Virginia,Online Shopping and Negative Reviews,"8,418",9%
Virginia,"Credit Bureaus, Information Furnishers and Report Users","5,607",6%
Virginia,Banks and Lenders,"4,469",5%
Virginia,Internet Services,"3,554",4%
Virginia,Debt Collection,"3,171",3%
Virginia,Auto Related,"2,942",3%
Virginia,"Prizes, Sweepstakes and Lotteries","2,761",3%
Virginia,"Privacy, Data Security, and Cyber Threats","2,538",3%
Washington,Identity Theft,"54,247",45%
Washington,Imposter Scams,"11,390",10%
Washington,Online Shopping and Negative Reviews,"6,989",6%
Washington,"Privacy, Data Security, and Cyber Threats","3,523",3%
Washington,Banks and Lenders,"3,200",3%
Washington,Internet Services,"3,028",3%
Washington,"Credit Bureaus, Information Furnishers and Report Users","2,626",2%
Washington,"Prizes, Sweepstakes and Lotteries","2,094",2%
Washington,Auto Related,"1,873",2%
Washington,Debt Collection,"1,843",2%
West Virginia,Identity Theft,"2,646",18%
West Virginia,Imposter Scams,"2,109",14%
West Virginia,Online Shopping and Negative Reviews,"1,482",10%
West Virginia,"Prizes, Sweepstakes and Lotteries",969,7%
West Virginia,Television and Electronic Media,741,5%
West Virginia,Internet Services,712,5%
West Virginia,Banks and Lenders,473,3%
West Virginia,Auto Related,423,3%
West Virginia,Telephone and Mobile Services,406,3%
West Virginia,Health Care,264,2%
Wisconsin,Identity Theft,"8,986",19%
Wisconsin,Imposter Scams,"6,741",14%
Wisconsin,Online Shopping and Negative Reviews,"5,048",10%
Wisconsin,"Prizes, Sweepstakes and Lotteries","2,548",5%
Wisconsin,Internet Services,"1,871",4%
Wisconsin,Banks and Lenders,"1,858",4%
Wisconsin,Auto Related,"1,417",3%
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users","1,405",3%
Wisconsin,Telephone and Mobile Services,"1,361",3%
Wisconsin,Debt Collection,1222,3%
Wyoming,Identity Theft,875,20%
Wyoming,Imposter Scams,547,12%
Wyoming,Online Shopping and Negative Reviews,425,10%
Wyoming,"Prizes, Sweepstakes and Lotteries",352,8%
Wyoming,Internet Services,163,4%
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",141,3%
Wyoming,Banks and Lenders,136,3%
Wyoming,Auto Related,133,3%
Wyoming,Debt Collection,132,3%
Wyoming,Health Care,104,2%
,,,
Percentages are based on the total number of 2020 reports from the corresponding state's consumers. State-specific data contributor reports are excluded.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
