State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Indiana,Other Identity Theft,"3,102",18%
Indiana,Phone or Utilities Fraud,"1,074",6%
Iowa,Bank Fraud,430,14%
Iowa,Credit Card Fraud,721,24%
Iowa,Employment or Tax-Related Fraud,493,16%
Iowa,Government Documents or Benefits Fraud,685,23%
Iowa,Loan or Lease Fraud,379,13%
Iowa,Other Identity Theft,606,20%
Iowa,Phone or Utilities Fraud,309,10%
Kansas,Bank Fraud,858,2%
Kansas,Credit Card Fraud,"1,378",3%
Kansas,Employment or Tax-Related Fraud,"1,368",3%
Kansas,Government Documents or Benefits Fraud,"38,003",88%
Kansas,Loan or Lease Fraud,759,2%
Kansas,Other Identity Theft,"2,118",5%
Kansas,Phone or Utilities Fraud,377,1%
Kentucky,Bank Fraud,685,12%
Kentucky,Credit Card Fraud,"1,330",23%
Kentucky,Employment or Tax-Related Fraud,"1,017",18%
Kentucky,Government Documents or Benefits Fraud,"1,253",22%
Kentucky,Loan or Lease Fraud,727,13%
Kentucky,Other Identity Theft,"1,372",24%
Kentucky,Phone or Utilities Fraud,535,9%
Louisiana,Bank Fraud,969,4%
Louisiana,Credit Card Fraud,"6,108",28%
Louisiana,Employment or Tax-Related Fraud,"1,626",7%
Louisiana,Government Documents or Benefits Fraud,"1,647",7%
Louisiana,Loan or Lease Fraud,"9,535",43%
Louisiana,Other Identity Theft,"7,306",33%
Louisiana,Phone or Utilities Fraud,"2,507",11%
Maine,Bank Fraud,272,4%
Maine,Credit Card Fraud,373,5%
Maine,Employment or Tax-Related Fraud,484,7%
Maine,Government Documents or Benefits Fraud,"5,353",75%
Maine,Loan or Lease Fraud,156,2%
Maine,Other Identity Theft,844,12%
Maine,Phone or Utilities Fraud,83,1%
Maryland,Bank Fraud,"1,979",10%
Maryland,Credit Card Fraud,"8,324",40%
Maryland,Employment or Tax-Related Fraud,"1,618",8%
Maryland,Government Documents or Benefits Fraud,"2,316",11%
Maryland,Loan or Lease Fraud,"4,246",20%
Maryland,Other Identity Theft,"5,967",29%
Maryland,Phone or Utilities Fraud,"2,330",11%
Massachusetts,Bank Fraud,"1,912",4%
Massachusetts,Credit Card Fraud,"4,473",10%
Massachusetts,Employment or Tax-Related Fraud,"2,328",5%
Massachusetts,Government Documents or Benefits Fraud,"29,782",65%
Massachusetts,Loan or Lease Fraud,"1,490",3%
Massachusetts,Other Identity Theft,"7,561",17%
Massachusetts,Phone or Utilities Fraud,"1,122",2%
Michigan,Bank Fraud,"2,124",9%
Michigan,Credit Card Fraud,"5,986",25%
Michigan,Employment or Tax-Related Fraud,"2,665",11%
Michigan,Government Documents or Benefits Fraud,"6,838",28%
Michigan,Loan or Lease Fraud,"3,316",14%
Michigan,Other Identity Theft,"5,373",22%
Michigan,Phone or Utilities Fraud,"2,997",12%
Minnesota,Bank Fraud,"1,054",13%
Minnesota,Credit Card Fraud,"2,332",28%
Minnesota,Employment or Tax-Related Fraud,980,12%
Minnesota,Government Documents or Benefits Fraud,"2,415",29%
Minnesota,Loan or Lease Fraud,833,10%
Minnesota,Other Identity Theft,"1,554",19%
Minnesota,Phone or Utilities Fraud,608,7%
Mississippi,Bank Fraud,735,7%
Mississippi,Credit Card Fraud,"3,541",32%
Mississippi,Employment or Tax-Related Fraud,"1,003",9%
Mississippi,Government Documents or Benefits Fraud,"1,056",10%
Mississippi,Loan or Lease Fraud,"3,038",28%
Mississippi,Other Identity Theft,"4,405",40%
Mississippi,Phone or Utilities Fraud,956,9%
Missouri,Bank Fraud,"1,194",9%
Missouri,Credit Card Fraud,"3,055",22%
Missouri,Employment or Tax-Related Fraud,"1,905",14%
Missouri,Government Documents or Benefits Fraud,"1,925",14%
Missouri,Loan or Lease Fraud,"2,444",18%
Missouri,Other Identity Theft,"5,126",38%
Missouri,Phone or Utilities Fraud,"1,220",9%
Montana,Bank Fraud,189,8%
Montana,Credit Card Fraud,306,13%
Montana,Employment or Tax-Related Fraud,248,10%
Montana,Government Documents or Benefits Fraud,"1,389",57%
Montana,Loan or Lease Fraud,118,5%
Montana,Other Identity Theft,291,12%
Montana,Phone or Utilities Fraud,124,5%
Nebraska,Bank Fraud,317,15%
Nebraska,Credit Card Fraud,503,23%
Nebraska,Employment or Tax-Related Fraud,283,13%
Nebraska,Government Documents or Benefits Fraud,608,28%
Nebraska,Loan or Lease Fraud,293,13%
Nebraska,Other Identity Theft,407,19%
Nebraska,Phone or Utilities Fraud,165,8%
Nevada,Bank Fraud,"1,043",5%
Nevada,Credit Card Fraud,"5,096",22%
Nevada,Employment or Tax-Related Fraud,"1,555",7%
Nevada,Government Documents or Benefits Fraud,"9,601",42%
Nevada,Loan or Lease Fraud,"2,353",10%
Nevada,Other Identity Theft,"5,578",24%
Nevada,Phone or Utilities Fraud,"1,101",5%
New Hampshire,Bank Fraud,313,14%
New Hampshire,Credit Card Fraud,560,24%
New Hampshire,Employment or Tax-Related Fraud,196,9%
New Hampshire,Government Documents or Benefits Fraud,686,30%
New Hampshire,Loan or Lease Fraud,249,11%
New Hampshire,Other Identity Theft,328,14%
New Hampshire,Phone or Utilities Fraud,293,13%
New Jersey,Bank Fraud,"2,239",7%
New Jersey,Credit Card Fraud,"11,210",35%
New Jersey,Employment or Tax-Related Fraud,"2,024",6%
New Jersey,Government Documents or Benefits Fraud,"7,958",25%
New Jersey,Loan or Lease Fraud,"4,376",14%
New Jersey,Other Identity Theft,"8,100",25%
New Jersey,Phone or Utilities Fraud,"2,716",8%
New Mexico,Bank Fraud,455,13%
New Mexico,Credit Card Fraud,728,21%
New Mexico,Employment or Tax-Related Fraud,785,23%
New Mexico,Government Documents or Benefits Fraud,867,25%
New Mexico,Loan or Lease Fraud,427,12%
New Mexico,Other Identity Theft,708,21%
New Mexico,Phone or Utilities Fraud,282,8%
New York,Bank Fraud,"5,388",8%
New York,Credit Card Fraud,"24,939",37%
New York,Employment or Tax-Related Fraud,"5,112",8%
New York,Government Documents or Benefits Fraud,"15,408",23%
New York,Loan or Lease Fraud,"8,576",13%
New York,Other Identity Theft,"15,800",24%
New York,Phone or Utilities Fraud,"5,177",8%
North Carolina,Bank Fraud,"2,689",9%
North Carolina,Credit Card Fraud,"10,581",35%
North Carolina,Employment or Tax-Related Fraud,"2,697",9%
North Carolina,Government Documents or Benefits Fraud,"2,352",8%
North Carolina,Loan or Lease Fraud,"5,756",19%
North Carolina,Other Identity Theft,"10,907",36%
North Carolina,Phone or Utilities Fraud,"2,719",9%
North Dakota,Bank Fraud,131,10%
North Dakota,Credit Card Fraud,229,18%
North Dakota,Employment or Tax-Related Fraud,110,9%
North Dakota,Government Documents or Benefits Fraud,594,47%
North Dakota,Loan or Lease Fraud,129,10%
North Dakota,Other Identity Theft,168,13%
North Dakota,Phone or Utilities Fraud,61,5%
Ohio,Bank Fraud,"2,401",9%
Ohio,Credit Card Fraud,"6,641",26%
Ohio,Employment or Tax-Related Fraud,"2,707",10%
Ohio,Government Documents or Benefits Fraud,"6,890",27%
Ohio,Loan or Lease Fraud,"3,477",13%
Ohio,Other Identity Theft,"6,764",26%
Ohio,Phone or Utilities Fraud,"2,725",11%
Oklahoma,Bank Fraud,"1,093",8%
Oklahoma,Credit Card Fraud,"1,693",12%
Oklahoma,Employment or Tax-Related Fraud,"1,758",13%
Oklahoma,Government Documents or Benefits Fraud,"7,001",51%
Oklahoma,Loan or Lease Fraud,"1,014",7%
Oklahoma,Other Identity Theft,"2,543",18%
Oklahoma,Phone or Utilities Fraud,606,4%
Oregon,Bank Fraud,"1,105",15%
Oregon,Credit Card Fraud,"1,838",25%
Oregon,Employment or Tax-Related Fraud,"1,317",18%
Oregon,Government Documents or Benefits Fraud,"1,687",23%
Oregon,Loan or Lease Fraud,733,10%
Oregon,Other Identity Theft,"1,281",17%
Oregon,Phone or Utilities Fraud,890,12%
Pennsylvania,Bank Fraud,"3,488",10%
Pennsylvania,Credit Card Fraud,"11,848",35%
Pennsylvania,Employment or Tax-Related Fraud,"3,230",10%
Pennsylvania,Government Documents or Benefits Fraud,"5,504",16%
Pennsylvania,Loan or Lease Fraud,"6,030",18%
Pennsylvania,Other Identity Theft,"8,268",24%
Pennsylvania,Phone or Utilities Fraud,"3,847",11%
Puerto Rico,Bank Fraud,89,5%
Puerto Rico,Credit Card Fraud,347,21%
Puerto Rico,Employment or Tax-Related Fraud,654,39%
Puerto Rico,Government Documents or Benefits Fraud,192,12%
Puerto Rico,Loan or Lease Fraud,179,11%
Puerto Rico,Other Identity Theft,310,19%
Puerto Rico,Phone or Utilities Fraud,167,10%
Rhode Island,Bank Fraud,350,3%
Rhode Island,Credit Card Fraud,749,6%
Rhode Island,Employment or Tax-Related Fraud,456,4%
Rhode Island,Government Documents or Benefits Fraud,"10,062",80%
Rhode Island,Loan or Lease Fraud,307,2%
Rhode Island,Other Identity Theft,"1,104",9%
Rhode Island,Phone or Utilities Fraud,236,2%
South Carolina,Bank Fraud,"1,212",6%
South Carolina,Credit Card Fraud,"5,907",31%
South Carolina,Employment or Tax-Related Fraud,"1,390",7%
South Carolina,Government Documents or Benefits Fraud,"1,202",6%
South Carolina,Loan or Lease Fraud,"4,811",25%
South Carolina,Other Identity Theft,"7,871",41%
South Carolina,Phone or Utilities Fraud,"1,828",10%
South Dakota,Bank Fraud,122,19%
South Dakota,Credit Card Fraud,164,26%
South Dakota,Employment or Tax-Related Fraud,103,16%
South Dakota,Government Documents or Benefits Fraud,83,13%
South Dakota,Loan or Lease Fraud,103,16%
South Dakota,Other Identity Theft,124,19%
South Dakota,Phone or Utilities Fraud,70,11%
Tennessee,Bank Fraud,"1,202",6%
Tennessee,Credit Card Fraud,"6,672",35%
Tennessee,Employment or Tax-Related Fraud,"1,844",10%
Tennessee,Government Documents or Benefits Fraud,"1,313",7%
Tennessee,Loan or Lease Fraud,"3,643",19%
Tennessee,Other Identity Theft,"7,656",40%
Tennessee,Phone or Utilities Fraud,"1,881",10%
Texas,Bank Fraud,"7,680",6%
Texas,Credit Card Fraud,"37,942",28%
Texas,Employment or Tax-Related Fraud,"10,740",8%
Texas,Government Documents or Benefits Fraud,"19,503",14%
Texas,Loan or Lease Fraud,"39,038",29%
Texas,Other Identity Theft,"42,581",32%
Texas,Phone or Utilities Fraud,"14,516",11%
Utah,Bank Fraud,597,6%
Utah,Credit Card Fraud,"2,693",29%
Utah,Employment or Tax-Related Fraud,682,7%
Utah,Government Documents or Benefits Fraud,550,6%
Utah,Loan or Lease Fraud,"2,518",27%
Utah,Other Identity Theft,"4,734",51%
Utah,Phone or Utilities Fraud,429,5%
Vermont,Bank Fraud,109,13%
Vermont,Credit Card Fraud,177,22%
Vermont,Employment or Tax-Related Fraud,74,9%
Vermont,Government Documents or Benefits Fraud,309,38%
Vermont,Loan or Lease Fraud,90,11%
Vermont,Other Identity Theft,111,14%
Vermont,Phone or Utilities Fraud,50,6%
Virginia,Bank Fraud,"1,817",12%
Virginia,Credit Card Fraud,"5,054",32%
Virginia,Employment or Tax-Related Fraud,"1,750",11%
Virginia,Government Documents or Benefits Fraud,"1,615",10%
Virginia,Loan or Lease Fraud,"2,824",18%
Virginia,Other Identity Theft,"4,726",30%
Virginia,Phone or Utilities Fraud,"1,646",11%
Washington,Bank Fraud,"3,291",6%
Washington,Credit Card Fraud,"4,266",8%
Washington,Employment or Tax-Related Fraud,"4,025",7%
Washington,Government Documents or Benefits Fraud,"38,140",70%
Washington,Loan or Lease Fraud,"1,791",3%
Washington,Other Identity Theft,"6,667",12%
Washington,Phone or Utilities Fraud,"1,031",2%
West Virginia,Bank Fraud,315,12%
West Virginia,Credit Card Fraud,387,15%
West Virginia,Employment or Tax-Related Fraud,385,15%
West Virginia,Government Documents or Benefits Fraud,"1,100",42%
West Virginia,Loan or Lease Fraud,219,8%
West Virginia,Other Identity Theft,492,19%
West Virginia,Phone or Utilities Fraud,227,9%
Wisconsin,Bank Fraud,"1,081",12%
Wisconsin,Credit Card Fraud,"2,320",26%
Wisconsin,Employment or Tax-Related Fraud,964,11%
Wisconsin,Government Documents or Benefits Fraud,"2,231",25%
Wisconsin,Loan or Lease Fraud,"1,145",13%
Wisconsin,Other Identity Theft,"2,325",26%
Wisconsin,Phone or Utilities Fraud,726,8%
Wyoming,Bank Fraud,93,11%
Wyoming,Credit Card Fraud,150,17%
Wyoming,Employment or Tax-Related Fraud,194,22%
Wyoming,Government Documents or Benefits Fraud,309,35%
Wyoming,Loan or Lease Fraud,83,9%
Wyoming,Other Identity Theft,126,14%
Wyoming,Phone or Utilities Fraud,48,5%
,,,
Percentages are based on the total number of 2020 Identity Theft reports from the corresponding state's consumers. Consumers can report multiple types of identity theft.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
