State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
New York,"Credit Bureaus, Information Furnishers and Report Users","43,135",17%
New York,Imposter Scams,"36,386",14%
New York,Online Shopping and Negative Reviews,"18,807",7%
New York,Banks and Lenders,"13,468",5%
New York,Credit Cards and Loss Protection,"7,709",3%
New York,Internet Services,"7,581",3%
New York,Auto Related,"7,563",3%
New York,"Prizes, Sweepstakes and Lotteries","6,346",2%
New York,Health Care,"5,964",2%
North Carolina,"Credit Bureaus, Information Furnishers and Report Users","25,469",18%
North Carolina,Identity Theft,"25,142",18%
North Carolina,Imposter Scams,"19,713",14%
North Carolina,Online Shopping and Negative Reviews,"9,138",6%
North Carolina,Banks and Lenders,"6,831",5%
North Carolina,"Prizes, Sweepstakes and Lotteries","5,222",4%
North Carolina,Auto Related,"5,127",4%
North Carolina,Debt Collection,"4,231",3%
North Carolina,Health Care,"3,272",2%
North Carolina,Credit Cards and Loss Protection,"3,148",2%
North Dakota,Imposter Scams,1066,19%
North Dakota,Identity Theft,913,16%
North Dakota,Online Shopping and Negative Reviews,495,9%
North Dakota,"Prizes, Sweepstakes and Lotteries",385,7%
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",359,6%
North Dakota,Banks and Lenders,222,4%
North Dakota,Debt Collection,186,3%
North Dakota,Auto Related,180,3%
North Dakota,Internet Services,136,2%
North Dakota,Health Care,118,2%
Ohio,Identity Theft,"34,616",24%
Ohio,Imposter Scams,"19,582",14%
Ohio,"Credit Bureaus, Information Furnishers and Report Users","14,315",10%
Ohio,Online Shopping and Negative Reviews,"9,104",6%
Ohio,Banks and Lenders,"7,132",5%
Ohio,Auto Related,"6,051",4%
Ohio,"Prizes, Sweepstakes and Lotteries","5,656",4%
Ohio,Debt Collection,"3,754",3%
Ohio,Health Care,"3,608",3%
Ohio,Internet Services,"3,395",2%
Oklahoma,Imposter Scams,"6,253",17%
Oklahoma,Identity Theft,"6,032",16%
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users","3,088",8%
Oklahoma,Online Shopping and Negative Reviews,"2,642",7%
Oklahoma,"Prizes, Sweepstakes and Lotteries","2,154",6%
Oklahoma,Banks and Lenders,1815,5%
Oklahoma,Auto Related,1504,4%
Oklahoma,Debt Collection,1118,3%
Oklahoma,Health Care,1034,3%
Oklahoma,Telephone and Mobile Services,910,2%
Oregon,Imposter Scams,"11,092",23%
Oregon,Identity Theft,"7,444",15%
Oregon,Online Shopping and Negative Reviews,"4,288",9%
Oregon,Banks and Lenders,"2,750",6%
Oregon,"Prizes, Sweepstakes and Lotteries","2,487",5%
Oregon,"Credit Bureaus, Information Furnishers and Report Users","1,661",3%
Oregon,Auto Related,"1,523",3%
Oregon,Internet Services,1429,3%
Oregon,Health Care,1218,2%
Oregon,Credit Cards and Loss Protection,1113,2%
Pennsylvania,Identity Theft,"40,778",21%
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users","38,033",20%
Pennsylvania,Imposter Scams,"24,421",13%
Pennsylvania,Online Shopping and Negative Reviews,"11,868",6%
Pennsylvania,Banks and Lenders,"8,654",5%
Pennsylvania,"Prizes, Sweepstakes and Lotteries","6,187",3%
Pennsylvania,Auto Related,"5,182",3%
Pennsylvania,Debt Collection,"4,406",2%
Pennsylvania,Internet Services,"4,274",2%
Pennsylvania,Credit Cards and Loss Protection,"4,106",2%
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users","1,848",26%
Puerto Rico,Identity Theft,1690,23%
Puerto Rico,Imposter Scams,955,13%
Puerto Rico,Banks and Lenders,377,5%
Puerto Rico,Online Shopping and Negative Reviews,301,4%
Puerto Rico,Debt Collection,173,2%
Puerto Rico,Credit Cards and Loss Protection,161,2%
Puerto Rico,"Privacy, Data Security, and Cyber Threats",147,2%
Puerto Rico,Business and Job Opportunities,146,2%
Puerto Rico,Investment Related,142,2%
Rhode Island,Identity Theft,"2,357",20%
Rhode Island,Imposter Scams,"1,971",17%
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",1002,9%
Rhode Island,Online Shopping and Negative Reviews,926,8%
Rhode Island,Banks and Lenders,590,5%
Rhode Island,Auto Related,459,4%
Rhode Island,"Prizes, Sweepstakes and Lotteries",443,4%
Rhode Island,Credit Cards and Loss Protection,294,3%
Rhode Island,Internet Services,283,2%
Rhode Island,Health Care,283,2%
South Carolina,Identity Theft,"14,931",20%
South Carolina,"Credit Bureaus, Information Furnishers and Report Users","13,138",18%
South Carolina,Imposter Scams,"9,424",13%
South Carolina,Online Shopping and Negative Reviews,"4,217",6%
South Carolina,Banks and Lenders,"3,770",5%
South Carolina,Auto Related,"2,861",4%
South Carolina,"Prizes, Sweepstakes and Lotteries","2,774",4%
South Carolina,Debt Collection,"2,731",4%
South Carolina,Health Care,"1,570",2%
South Carolina,Internet Services,1474,2%
South Dakota,Imposter Scams,1123,19%
South Dakota,Identity Theft,833,14%
South Dakota,Online Shopping and Negative Reviews,589,10%
South Dakota,"Prizes, Sweepstakes and Lotteries",429,7%
South Dakota,Banks and Lenders,368,6%
South Dakota,"Credit Bureaus, Information Furnishers and Report Users",205,3%
South Dakota,Auto Related,195,3%
South Dakota,Debt Collection,170,3%
South Dakota,Telephone and Mobile Services,162,3%
South Dakota,Health Care,160,3%
Tennessee,Identity Theft,"12,709",15%
Tennessee,Imposter Scams,"12,139",14%
Tennessee,"Credit Bureaus, Information Furnishers and Report Users","10,758",13%
Tennessee,Online Shopping and Negative Reviews,"5,668",7%
Tennessee,Auto Related,"4,355",5%
Tennessee,Banks and Lenders,"3,915",5%
Tennessee,"Prizes, Sweepstakes and Lotteries","3,663",4%
Tennessee,Debt Collection,"3,197",4%
Tennessee,"Home Repair, Improvement and Products","2,916",3%
Tennessee,Health Care,2436,3%
Texas,Identity Theft,"101,002",24%
Texas,"Credit Bureaus, Information Furnishers and Report Users","89,767",21%
Texas,Imposter Scams,"46,880",11%
Texas,Online Shopping and Negative Reviews,"21,603",5%
Texas,Banks and Lenders,"18,632",4%
Texas,Debt Collection,"13,959",3%
Texas,Auto Related,"13,762",3%
Texas,"Prizes, Sweepstakes and Lotteries","10,108",2%
Texas,Business and Job Opportunities,"8,622",2%
Texas,Health Care,"8,148",2%
Utah,Imposter Scams,"6,193",20%
Utah,Identity Theft,"5,345",17%
Utah,Online Shopping and Negative Reviews,"2,746",9%
Utah,"Credit Bureaus, Information Furnishers and Report Users","1,624",5%
Utah,Banks and Lenders,1323,4%
Utah,"Prizes, Sweepstakes and Lotteries",1263,4%
Utah,Auto Related,1125,4%
Utah,Business and Job Opportunities,1072,3%
Utah,Health Care,922,3%
Utah,Investment Related,793,3%
Vermont,Imposter Scams,1560,26%
Vermont,Identity Theft,620,10%
Vermont,Online Shopping and Negative Reviews,591,10%
Vermont,Banks and Lenders,320,5%
Vermont,"Prizes, Sweepstakes and Lotteries",275,5%
Vermont,Auto Related,216,4%
Vermont,"Credit Bureaus, Information Furnishers and Report Users",176,3%
Vermont,Internet Services,167,3%
Vermont,Health Care,160,3%
Vermont,Credit Cards and Loss Protection,152,3%
Virginia,Identity Theft,"19,211",16%
Virginia,Imposter Scams,"18,613",16%
Virginia,"Credit Bureaus, Information Furnishers and Report Users","16,015",14%
Virginia,Online Shopping and Negative Reviews,"8,160",7%
Virginia,Banks and Lenders,"6,294",5%
Virginia,Auto Related,"4,330",4%
Virginia,"Prizes, Sweepstakes and Lotteries","4,067",3%
Virginia,Debt Collection,"3,351",3%
Virginia,Internet Services,"3,049",3%
Virginia,Health Care,"2,929",3%
Washington,Imposter Scams,"19,923",22%
Washington,Identity Theft,"12,582",14%
Washington,Online Shopping and Negative Reviews,"7,764",9%
Washington,Banks and Lenders,"4,463",5%
Washington,"Credit Bureaus, Information Furnishers and Report Users","4,138",5%
Washington,"Prizes, Sweepstakes and Lotteries","3,543",4%
Washington,Auto Related,"2,915",3%
Washington,Internet Services,"2,456",3%
Washington,"Privacy, Data Security, and Cyber Threats","2,371",3%
Washington,Health Care,"2,300",3%
West Virginia,Imposter Scams,"2,896",18%
West Virginia,Identity Theft,"1,977",13%
West Virginia,"Prizes, Sweepstakes and Lotteries","1,405",9%
West Virginia,Online Shopping and Negative Reviews,1392,9%
West Virginia,Banks and Lenders,868,6%
West Virginia,"Credit Bureaus, Information Furnishers and Report Users",710,5%
West Virginia,Auto Related,628,4%
West Virginia,Internet Services,582,4%
West Virginia,Telephone and Mobile Services,469,3%
West Virginia,Health Care,359,2%
Wisconsin,Imposter Scams,"10,077",19%
Wisconsin,Identity Theft,"8,301",15%
Wisconsin,Online Shopping and Negative Reviews,"4,804",9%
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users","4,783",9%
Wisconsin,Banks and Lenders,"2,662",5%
Wisconsin,"Prizes, Sweepstakes and Lotteries","2,652",5%
Wisconsin,Auto Related,"1,932",4%
Wisconsin,Health Care,"1,600",3%
Wisconsin,Internet Services,"1,447",3%
Wisconsin,Telephone and Mobile Services,1347,2%
Wyoming,Imposter Scams,994,19%
Wyoming,Identity Theft,609,12%
Wyoming,Online Shopping and Negative Reviews,567,11%
Wyoming,"Prizes, Sweepstakes and Lotteries",342,7%
Wyoming,Banks and Lenders,292,6%
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",220,4%
Wyoming,Internet Services,210,4%
Wyoming,Auto Related,186,4%
Wyoming,"Privacy, Data Security, and Cyber Threats",135,3%
Wyoming,Business and Job Opportunities,121,2%
Wyoming,Investment Related,116,3%
,,,
Percentages are based on the total number of 202 reports from the corresponding state's consumers. State-specific data contributor reports are excluded.,,,
,,,
"Source: Consumer Sentinel Network Data Book 202, Federal Trade Commission",,,
