Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
153,"Las Cruces, NM Metropolitan Statistical Area",919,"2,005"
154,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",918,"11,136"
155,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",916,"20,562"
156,"Charlottesville, VA Metropolitan Statistical Area",916,"2,018"
157,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",913,"2,484"
158,"Torrington, CT Micropolitan Statistical Area",911,"1,687"
159,"Rochester, NY Metropolitan Statistical Area",911,"9,915"
160,"Boise City, ID Metropolitan Statistical Area",911,"6,835"
161,"Lynchburg, VA Metropolitan Statistical Area",910,"2,378"
162,"Fresno, CA Metropolitan Statistical Area",910,"9,125"
163,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",907,"1,405"
164,"Cheyenne, WY Metropolitan Statistical Area",906,905
165,"Midland, TX Metropolitan Statistical Area",905,"1,558"
166,"Dayton-Kettering, OH Metropolitan Statistical Area",905,"7,338"
167,"Rockford, IL Metropolitan Statistical Area",904,"3,064"
168,"Hattiesburg, MS Metropolitan Statistical Area",902,"1,547"
169,"Albany, GA Metropolitan Statistical Area",902,"1,347"
170,"Champaign-Urbana, IL Metropolitan Statistical Area",900,"2,010"
171,"Anchorage, AK Metropolitan Statistical Area",899,"3,589"
172,"Anniston-Oxford, AL Metropolitan Statistical Area",898,"1,046"
173,"Madison, WI Metropolitan Statistical Area",898,"6,054"
174,"Salt Lake City, UT Metropolitan Statistical Area",897,"11,170"
175,"Stockton, CA Metropolitan Statistical Area",897,"6,920"
176,"Lumberton, NC Micropolitan Statistical Area",893,"1,061"
177,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",891,"32,604"
178,"New Bern, NC Metropolitan Statistical Area",888,"1,093"
179,"Tulsa, OK Metropolitan Statistical Area",888,"8,969"
180,"Brunswick, GA Metropolitan Statistical Area",886,"1,008"
181,"Missoula, MT Metropolitan Statistical Area",886,"1,040"
182,"Kalamazoo-Portage, MI Metropolitan Statistical Area",885,"2,313"
