State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Massachusetts,Credit Cards,877,2%
Maryland,Debt Collection,10276,21%
Maryland,Identity Theft,7788,16%
Maryland,Imposter Scams,5429,11%
Maryland,Banks and Lenders,4323,9%
Maryland,"Credit Bureaus, Information Furnishers and Report Users",2713,5%
Maryland,Telephone and Mobile Services,2526,5%
Maryland,Shop-at-Home and Catalog Sales,2255,5%
Maryland,Auto Related,1972,4%
Maryland,"Prizes, Sweepstakes and Lotteries",1825,4%
Maryland,Credit Cards,1191,2%
Maine,Auto Related,1243,19%
Maine,Debt Collection,1091,17%
Maine,Imposter Scams,1077,17%
Maine,Identity Theft,806,12%
Maine,Telephone and Mobile Services,739,11%
Maine,Banks and Lenders,537,8%
Maine,Television and Electronic Media,507,8%
Maine,Shop-at-Home and Catalog Sales,424,7%
Maine,"Prizes, Sweepstakes and Lotteries",419,6%
Maine,Health Care,341,5%
Michigan,Debt Collection,36043,40%
Michigan,Identity Theft,15027,17%
Michigan,Imposter Scams,8487,9%
Michigan,Banks and Lenders,3988,4%
Michigan,Telephone and Mobile Services,3732,4%
Michigan,"Prizes, Sweepstakes and Lotteries",3476,4%
Michigan,Shop-at-Home and Catalog Sales,3229,4%
Michigan,"Credit Bureaus, Information Furnishers and Report Users",2673,3%
Michigan,Auto Related,1847,2%
Michigan,Television and Electronic Media,1654,2%
Minnesota,Imposter Scams,4548,16%
Minnesota,Identity Theft,4324,15%
Minnesota,Debt Collection,3292,12%
Minnesota,"Prizes, Sweepstakes and Lotteries",2314,8%
Minnesota,Banks and Lenders,1787,6%
Minnesota,Telephone and Mobile Services,1683,6%
Minnesota,Shop-at-Home and Catalog Sales,1586,6%
Minnesota,"Credit Bureaus, Information Furnishers and Report Users",981,3%
Minnesota,Auto Related,829,3%
Minnesota,Television and Electronic Media,687,2%
Missouri,Debt Collection,10391,24%
Missouri,Imposter Scams,5997,14%
Missouri,Identity Theft,4994,11%
Missouri,"Prizes, Sweepstakes and Lotteries",3075,7%
Missouri,Banks and Lenders,2484,6%
Missouri,Telephone and Mobile Services,2426,5%
Missouri,Auto Related,2021,5%
Missouri,Shop-at-Home and Catalog Sales,1787,4%
Missouri,"Credit Bureaus, Information Furnishers and Report Users",1708,4%
Missouri,Television and Electronic Media,1034,2%
Mississippi,Debt Collection,4083,23%
Mississippi,Imposter Scams,2440,14%
Mississippi,Identity Theft,2064,12%
Mississippi,"Prizes, Sweepstakes and Lotteries",1413,8%
Mississippi,Banks and Lenders,972,6%
Mississippi,Telephone and Mobile Services,867,5%
Mississippi,Shop-at-Home and Catalog Sales,799,5%
Mississippi,"Credit Bureaus, Information Furnishers and Report Users",766,4%
Mississippi,Auto Related,600,3%
Mississippi,Television and Electronic Media,353,2%
Montana,Imposter Scams,1342,24%
Montana,"Prizes, Sweepstakes and Lotteries",759,14%
Montana,Identity Theft,638,11%
Montana,Telephone and Mobile Services,518,9%
Montana,Debt Collection,349,6%
Montana,Shop-at-Home and Catalog Sales,281,5%
Montana,Banks and Lenders,278,5%
Montana,Auto Related,194,3%
Montana,Internet Services,159,3%
Montana,"Credit Bureaus, Information Furnishers and Report Users",121,2%
North Carolina,Debt Collection,13150,19%
North Carolina,Imposter Scams,9583,14%
North Carolina,Identity Theft,9424,14%
North Carolina,"Prizes, Sweepstakes and Lotteries",5848,8%
North Carolina,Banks and Lenders,4905,7%
North Carolina,Telephone and Mobile Services,4549,7%
North Carolina,"Credit Bureaus, Information Furnishers and Report Users",4383,6%
North Carolina,Auto Related,3512,5%
North Carolina,Shop-at-Home and Catalog Sales,3202,5%
North Carolina,Television and Electronic Media,1978,3%
North Dakota,Identity Theft,467,18%
North Dakota,Imposter Scams,370,14%
North Dakota,"Prizes, Sweepstakes and Lotteries",290,11%
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",239,9%
North Dakota,Debt Collection,163,6%
North Dakota,Shop-at-Home and Catalog Sales,159,6%
North Dakota,Telephone and Mobile Services,156,6%
North Dakota,Banks and Lenders,138,5%
North Dakota,Auto Related,90,4%
North Dakota,Credit Cards,61,2%
Nebraska,Imposter Scams,1648,19%
Nebraska,Identity Theft,1170,13%
Nebraska,Telephone and Mobile Services,724,8%
Nebraska,"Prizes, Sweepstakes and Lotteries",709,8%
Nebraska,Debt Collection,590,7%
Nebraska,Banks and Lenders,495,6%
Nebraska,Shop-at-Home and Catalog Sales,466,5%
Nebraska,"Credit Bureaus, Information Furnishers and Report Users",298,3%
Nebraska,Auto Related,280,3%
Nebraska,Internet Services,215,2%
New Hampshire,Imposter Scams,1266,16%
New Hampshire,Identity Theft,1097,14%
New Hampshire,Debt Collection,926,12%
New Hampshire,Banks and Lenders,602,8%
New Hampshire,Telephone and Mobile Services,511,6%
New Hampshire,"Prizes, Sweepstakes and Lotteries",472,6%
New Hampshire,Shop-at-Home and Catalog Sales,472,6%
New Hampshire,Auto Related,429,5%
New Hampshire,"Credit Bureaus, Information Furnishers and Report Users",197,2%
New Hampshire,Credit Cards,186,2%
New Jersey,Debt Collection,11803,20%
New Jersey,Identity Theft,9533,16%
New Jersey,Imposter Scams,6481,11%
New Jersey,Banks and Lenders,5150,9%
New Jersey,Telephone and Mobile Services,3280,6%
New Jersey,Shop-at-Home and Catalog Sales,2948,5%
New Jersey,"Credit Bureaus, Information Furnishers and Report Users",2723,5%
New Jersey,Auto Related,2437,4%
New Jersey,"Prizes, Sweepstakes and Lotteries",2100,4%
New Jersey,Credit Cards,1645,3%
New Mexico,Debt Collection,3273,23%
New Mexico,Imposter Scams,2157,15%
New Mexico,Identity Theft,1909,13%
