Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
37,"Chattanooga, TN-GA Metropolitan Statistical Area",603,"3,326"
38,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",603,691
39,"Fayetteville, NC Metropolitan Statistical Area",603,"2,293"
40,"Port St. Lucie, FL Metropolitan Statistical Area",600,"2,793"
41,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",597,"3,549"
42,"Charleston-North Charleston, SC Metropolitan Statistical Area",596,"4,534"
43,"Birmingham-Hoover, AL Metropolitan Statistical Area",592,"6,789"
44,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",589,"27,458"
45,"Asheville, NC Metropolitan Statistical Area",589,"2,662"
46,"Missoula, MT Metropolitan Statistical Area",585,679
47,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",583,883
48,"Cleveland-Elyria, OH Metropolitan Statistical Area",581,"11,933"
49,"Charleston, WV Metropolitan Statistical Area",576,"1,256"
50,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",569,"1,168"
51,"Tallahassee, FL Metropolitan Statistical Area",568,"2,158"
52,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",568,"4,480"
53,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",568,"2,758"
54,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",568,"10,587"
55,"Sherman-Denison, TX Metropolitan Statistical Area",565,724
56,"Redding, CA Metropolitan Statistical Area",564,"1,013"
57,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",564,709
58,"Akron, OH Metropolitan Statistical Area",563,"3,956"
59,"Florence, SC Metropolitan Statistical Area",562,"1,157"
60,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",561,"34,068"
61,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",560,"7,191"
62,"Warner Robins, GA Metropolitan Statistical Area",560,"1,064"
63,"Flint, MI Metropolitan Statistical Area",556,"2,273"
64,"Greensboro-High Point, NC Metropolitan Statistical Area",556,"4,201"
65,"Topeka, KS Metropolitan Statistical Area",554,"1,291"
66,"Colorado Springs, CO Metropolitan Statistical Area",552,"3,929"
67,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",551,"4,877"
68,"Shreveport-Bossier City, LA Metropolitan Statistical Area",551,"2,432"
69,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",550,"4,040"
70,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",547,"10,957"
71,"Sebring, FL Metropolitan Statistical Area",546,551
72,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",546,"2,135"
73,"Dothan, AL Metropolitan Statistical Area",545,806
74,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",545,"25,509"
75,"Tucson, AZ Metropolitan Statistical Area",544,"5,533"
76,"Rocky Mount, NC Metropolitan Statistical Area",544,801
77,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",543,"15,501"
78,"Reno, NV Metropolitan Statistical Area",541,"2,475"
79,"Olympia-Tumwater, WA Metropolitan Statistical Area",539,"1,484"
80,"Kansas City, MO-KS Metropolitan Statistical Area",539,"11,340"
81,"New Orleans-Metairie, LA Metropolitan Statistical Area",538,"6,830"
82,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",537,"2,926"
83,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",534,"1,427"
84,"Austin-Round Rock, TX Metropolitan Statistical Area",534,"10,984"
85,"Chico, CA Metropolitan Statistical Area",531,"1,205"
86,"Raleigh, NC Metropolitan Statistical Area",529,"6,887"
87,"Stockton-Lodi, CA Metropolitan Statistical Area",526,"3,862"
88,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",526,"2,986"
89,"East Stroudsburg, PA Metropolitan Statistical Area",524,871
90,"New Haven-Milford, CT Metropolitan Statistical Area",523,"4,484"
91,"Pittsburgh, PA Metropolitan Statistical Area",523,"12,250"
92,"Albuquerque, NM Metropolitan Statistical Area",522,"4,754"
93,"Dayton, OH Metropolitan Statistical Area",519,"4,156"
94,"Fort Wayne, IN Metropolitan Statistical Area",518,"2,235"
95,"Toledo, OH Metropolitan Statistical Area",516,"3,123"
96,"Coeur d'Alene, ID Metropolitan Statistical Area",515,795
97,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",514,"8,076"
98,"Beckley, WV Metropolitan Statistical Area",514,621
99,"Panama City, FL Metropolitan Statistical Area",513,"1,026"
100,"Ann Arbor, MI Metropolitan Statistical Area",512,"1,869"
101,"Columbus, OH Metropolitan Statistical Area",512,"10,447"
102,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",511,"1,385"
103,"Jackson, MS Metropolitan Statistical Area",511,"2,957"
104,"Bangor, ME Metropolitan Statistical Area",510,774
105,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",509,"5,766"
106,"Cheyenne, WY Metropolitan Statistical Area",508,499
107,"Jacksonville, NC Metropolitan Statistical Area",508,950
108,"Saginaw, MI Metropolitan Statistical Area",507,976
109,"Tyler, TX Metropolitan Statistical Area",507,"1,142"
110,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",506,"34,244"
111,"Wichita, KS Metropolitan Statistical Area",503,"3,242"
112,"Vallejo-Fairfield, CA Metropolitan Statistical Area",500,"2,202"
113,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",499,"10,808"
114,"Bremerton-Silverdale, WA Metropolitan Statistical Area",497,"1,317"
115,"St. Louis, MO-IL Metropolitan Statistical Area",497,"13,942"
116,"The Villages, FL Metropolitan Statistical Area",496,615
117,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",496,"18,825"
118,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",493,737
119,"Lexington-Fayette, KY Metropolitan Statistical Area",491,"2,487"
120,"Knoxville, TN Metropolitan Statistical Area",490,"4,260"
121,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",490,"46,610"
122,"New Bern, NC Metropolitan Statistical Area",489,617
123,"Longview, TX Metropolitan Statistical Area",489,"1,063"
124,"Eugene, OR Metropolitan Statistical Area",488,"1,804"
125,"Las Cruces, NM Metropolitan Statistical Area",488,"1,045"
126,"Rochester, NY Metropolitan Statistical Area",488,"5,262"
127,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",487,"29,839"
128,"Burlington, NC Metropolitan Statistical Area",487,777
129,"Hattiesburg, MS Metropolitan Statistical Area",486,725
130,"Clarksville, TN-KY Metropolitan Statistical Area",486,"1,371"
131,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",485,"4,050"
132,"Albany, GA Metropolitan Statistical Area",484,736
133,"Manchester-Nashua, NH Metropolitan Statistical Area",483,"1,971"
134,"Lubbock, TX Metropolitan Statistical Area",483,"1,521"
135,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",483,"1,022"
136,"Salisbury, MD-DE Metropolitan Statistical Area",483,"1,932"
137,"Wilmington, NC Metropolitan Statistical Area",483,"1,364"
138,"Canton-Massillon, OH Metropolitan Statistical Area",482,"1,936"
139,"Winston-Salem, NC Metropolitan Statistical Area",482,"3,194"
140,"Springfield, MO Metropolitan Statistical Area",482,"2,213"
141,"Bowling Green, KY Metropolitan Statistical Area",482,825
142,"Pueblo, CO Metropolitan Statistical Area",481,795
143,"Syracuse, NY Metropolitan Statistical Area",480,"3,149"
144,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",479,571
145,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",479,"1,535"
146,"Roseburg, OR Micropolitan Statistical Area",479,519
147,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",478,"11,584"
148,"Altoona, PA Metropolitan Statistical Area",477,594
149,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",476,"63,349"
150,"Gadsden, AL Metropolitan Statistical Area",475,487
151,"Albany, OR Metropolitan Statistical Area",475,583
152,"San Diego-Carlsbad, CA Metropolitan Statistical Area",474,"15,733"
153,"Greenville, NC Metropolitan Statistical Area",473,838
154,"Trenton, NJ Metropolitan Statistical Area",473,"1,754"
155,"Lawton, OK Metropolitan Statistical Area",472,604
156,"Kingston, NY Metropolitan Statistical Area",471,844
157,"Lawrence, KS Metropolitan Statistical Area",468,559
158,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",467,"3,965"
159,"Durham-Chapel Hill, NC Metropolitan Statistical Area",466,"2,610"
160,"Boise City, ID Metropolitan Statistical Area",466,"3,222"
161,"Spartanburg, SC Metropolitan Statistical Area",466,"1,533"
162,"Springfield, IL Metropolitan Statistical Area",466,978
163,"Johnson City, TN Metropolitan Statistical Area",466,939
164,"Torrington, CT Micropolitan Statistical Area",466,850
165,"Billings, MT Metropolitan Statistical Area",460,780
166,"Lansing-East Lansing, MI Metropolitan Statistical Area",458,"2,177"
167,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",458,"12,816"
168,"Dalton, GA Metropolitan Statistical Area",457,657
169,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",456,"2,532"
170,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",454,"8,983"
171,"Bellingham, WA Metropolitan Statistical Area",453,983
172,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",452,"10,979"
173,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",449,"90,589"
174,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",449,"4,239"
175,"Medford, OR Metropolitan Statistical Area",449,972
176,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",449,"5,417"
177,"Barnstable Town, MA Metropolitan Statistical Area",448,960
178,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",447,933
179,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",447,"1,633"
180,"Battle Creek, MI Metropolitan Statistical Area",447,601
181,"Corpus Christi, TX Metropolitan Statistical Area",446,"2,030"
182,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",446,"4,666"
183,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",445,"4,111"
184,"Baton Rouge, LA Metropolitan Statistical Area",445,"3,713"
185,"Evansville, IN-KY Metropolitan Statistical Area",444,"1,402"
186,"Tupelo, MS Micropolitan Statistical Area",444,623
187,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",443,"3,908"
188,"Rockford, IL Metropolitan Statistical Area",443,"1,502"
189,"Boulder, CO Metropolitan Statistical Area",442,"1,424"
190,"Mansfield, OH Metropolitan Statistical Area",441,534
191,"Owensboro, KY Metropolitan Statistical Area",440,519
192,"Fort Collins, CO Metropolitan Statistical Area",440,"1,495"
193,"Columbia, MO Metropolitan Statistical Area",439,776
194,"Amarillo, TX Metropolitan Statistical Area",439,"1,157"
195,"California-Lexington Park, MD Metropolitan Statistical Area",439,494
196,"Binghamton, NY Metropolitan Statistical Area",438,"1,068"
197,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",437,"1,154"
198,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",437,"1,791"
199,"El Paso, TX Metropolitan Statistical Area",435,"3,660"
200,"Bluefield, WV-VA Micropolitan Statistical Area",435,446
201,"Richmond, VA Metropolitan Statistical Area",434,"5,569"
202,"Charlottesville, VA Metropolitan Statistical Area",434,"1,005"
203,"Hilo, HI Micropolitan Statistical Area",434,861
204,"Anchorage, AK Metropolitan Statistical Area",433,"1,745"
205,"Watertown-Fort Drum, NY Metropolitan Statistical Area",433,494
206,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",433,"19,595"
207,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",433,535
208,"Athens-Clarke County, GA Metropolitan Statistical Area",430,883
209,"Joplin, MO Metropolitan Statistical Area",430,764
210,"Providence-Warwick, RI-MA Metropolitan Statistical Area",429,"6,934"
211,"Worcester, MA-CT Metropolitan Statistical Area",429,"4,013"
212,"Erie, PA Metropolitan Statistical Area",428,"1,183"
213,"Tulsa, OK Metropolitan Statistical Area",428,"4,228"
214,"Casper, WY Metropolitan Statistical Area",428,347
215,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",428,585
216,"Concord, NH Micropolitan Statistical Area",427,635
217,"Rapid City, SD Metropolitan Statistical Area",427,622
218,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",427,"20,467"
219,"Kalamazoo-Portage, MI Metropolitan Statistical Area",427,"1,437"
220,"Sumter, SC Metropolitan Statistical Area",426,458
221,"Monroe, LA Metropolitan Statistical Area",425,762
222,"Oshkosh-Neenah, WI Metropolitan Statistical Area",424,721
223,"Oklahoma City, OK Metropolitan Statistical Area",424,"5,818"
224,"Napa, CA Metropolitan Statistical Area",423,601
225,"Cleveland, TN Metropolitan Statistical Area",422,512
226,"Cookeville, TN Micropolitan Statistical Area",421,461
227,"Decatur, IL Metropolitan Statistical Area",420,448
228,"Jonesboro, AR Metropolitan Statistical Area",420,546
229,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",420,"1,529"
230,"Abilene, TX Metropolitan Statistical Area",420,715
231,"Duluth, MN-WI Metropolitan Statistical Area",419,"1,171"
232,"Salt Lake City, UT Metropolitan Statistical Area",419,"4,974"
233,"Pittsfield, MA Metropolitan Statistical Area",419,532
234,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",419,"14,881"
235,"Bozeman, MT Micropolitan Statistical Area",418,437
236,"Wheeling, WV-OH Metropolitan Statistical Area",416,595
237,"Wausau, WI Metropolitan Statistical Area",416,564
238,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",416,"1,176"
239,"Santa Rosa, CA Metropolitan Statistical Area",416,"2,091"
240,"Michigan City-La Porte, IN Metropolitan Statistical Area",415,457
241,"Dunn, NC Micropolitan Statistical Area",415,543
242,"Valdosta, GA Metropolitan Statistical Area",415,600
243,"Tuscaloosa, AL Metropolitan Statistical Area",413,998
244,"York-Hanover, PA Metropolitan Statistical Area",413,"1,834"
245,"Auburn-Opelika, AL Metropolitan Statistical Area",413,656
246,"Racine, WI Metropolitan Statistical Area",413,805
247,"Portland-South Portland, ME Metropolitan Statistical Area",412,"2,180"
248,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",411,"1,477"
249,"Greeley, CO Metropolitan Statistical Area",409,"1,205"
250,"Norwich-New London, CT Metropolitan Statistical Area",408,"1,102"
251,"Madison, WI Metropolitan Statistical Area",406,"2,637"
252,"Muskegon, MI Metropolitan Statistical Area",405,703
253,"Monroe, MI Metropolitan Statistical Area",405,604
254,"Bay City, MI Metropolitan Statistical Area",405,424
255,"Springfield, MA Metropolitan Statistical Area",404,"2,547"
256,"Midland, TX Metropolitan Statistical Area",404,680
257,"Janesville-Beloit, WI Metropolitan Statistical Area",404,653
258,"Springfield, OH Metropolitan Statistical Area",404,544
259,"Glens Falls, NY Metropolitan Statistical Area",403,509
260,"Niles-Benton Harbor, MI Metropolitan Statistical Area",402,619
261,"Pottsville, PA Micropolitan Statistical Area",402,577
262,"Claremont-Lebanon, NH-VT Micropolitan Statistical Area",401,867
263,"Alexandria, LA Metropolitan Statistical Area",399,617
264,"Twin Falls, ID Micropolitan Statistical Area",398,424
265,"Reading, PA Metropolitan Statistical Area",398,"1,651"
266,"Jackson, TN Metropolitan Statistical Area",397,514
267,"Lafayette, LA Metropolitan Statistical Area",396,"1,946"
268,"Idaho Falls, ID Metropolitan Statistical Area",395,563
269,"Carbondale-Marion, IL Metropolitan Statistical Area",395,499
270,"Lake Charles, LA Metropolitan Statistical Area",393,816
271,"Johnstown, PA Metropolitan Statistical Area",393,529
272,"Yuba City, CA Metropolitan Statistical Area",391,673
273,"Bakersfield, CA Metropolitan Statistical Area",390,"3,449"
274,"Fort Smith, AR-OK Metropolitan Statistical Area",389,"1,094"
275,"Meridian, MS Micropolitan Statistical Area",387,401
276,"Bend-Redmond, OR Metropolitan Statistical Area",387,702
277,"Jefferson City, MO Metropolitan Statistical Area",386,585
278,"Lumberton, NC Micropolitan Statistical Area",386,514
279,"Gainesville, GA Metropolitan Statistical Area",384,755
280,"Urban Honolulu, HI Metropolitan Statistical Area",384,"3,807"
281,"Eau Claire, WI Metropolitan Statistical Area",384,639
282,"Ithaca, NY Metropolitan Statistical Area",383,402
283,"Salem, OR Metropolitan Statistical Area",383,"1,602"
284,"Terre Haute, IN Metropolitan Statistical Area",383,653
285,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",382,"1,171"
286,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",382,"2,005"
287,"Hammond, LA Metropolitan Statistical Area",382,499
288,"Tullahoma-Manchester, TN Micropolitan Statistical Area",382,392
289,"Bloomington, IN Metropolitan Statistical Area",381,634
290,"Salem, OH Micropolitan Statistical Area",380,394
291,"Peoria, IL Metropolitan Statistical Area",380,"1,429"
292,"Grand Junction, CO Metropolitan Statistical Area",380,570
293,"Muncie, IN Metropolitan Statistical Area",379,438
294,"Salinas, CA Metropolitan Statistical Area",379,"1,648"
295,"Morgantown, WV Metropolitan Statistical Area",376,521
296,"San Angelo, TX Metropolitan Statistical Area",376,451
297,"Lincoln, NE Metropolitan Statistical Area",376,"1,228"
298,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",375,621
299,"Traverse City, MI Micropolitan Statistical Area",375,557
300,"Show Low, AZ Micropolitan Statistical Area",373,410
301,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",373,573
302,"Utica-Rome, NY Metropolitan Statistical Area",372,"1,094"
303,"Mankato-North Mankato, MN Metropolitan Statistical Area",372,372
304,"Fresno, CA Metropolitan Statistical Area",368,"3,608"
305,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",368,539
306,"Ogden-Clearfield, UT Metropolitan Statistical Area",368,"2,405"
307,"Houma-Thibodaux, LA Metropolitan Statistical Area",367,776
308,"Lima, OH Metropolitan Statistical Area",363,377
309,"Williamsport, PA Metropolitan Statistical Area",362,417
310,"Appleton, WI Metropolitan Statistical Area",360,842
311,"Decatur, AL Metropolitan Statistical Area",359,547
312,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",359,"2,277"
313,"St. Joseph, MO-KS Metropolitan Statistical Area",358,453
314,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",357,549
315,"Champaign-Urbana, IL Metropolitan Statistical Area",356,850
316,"Whitewater-Elkhorn, WI Micropolitan Statistical Area",355,366
317,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",355,486
318,"Modesto, CA Metropolitan Statistical Area",355,"1,922"
319,"Wooster, OH Micropolitan Statistical Area",355,413
320,"Fairbanks, AK Metropolitan Statistical Area",353,355
321,"Winchester, VA-WV Metropolitan Statistical Area",353,477
322,"Lewiston-Auburn, ME Metropolitan Statistical Area",352,378
323,"St. George, UT Metropolitan Statistical Area",350,561
324,"Green Bay, WI Metropolitan Statistical Area",349,"1,111"
325,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",346,"1,545"
326,"Jackson, MI Metropolitan Statistical Area",344,545
327,"Richmond-Berea, KY Micropolitan Statistical Area",343,365
328,"Fond du Lac, WI Metropolitan Statistical Area",342,349
329,"Longview, WA Metropolitan Statistical Area",341,359
330,"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",341,442
331,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",341,936
332,"Augusta-Waterville, ME Micropolitan Statistical Area",339,409
333,"Sioux Falls, SD Metropolitan Statistical Area",337,863
334,"Burlington-South Burlington, VT Metropolitan Statistical Area",337,733
335,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",336,728
336,"Lebanon, PA Metropolitan Statistical Area",335,465
337,"Cedar Rapids, IA Metropolitan Statistical Area",334,894
338,"Wenatchee, WA Metropolitan Statistical Area",332,391
339,"Bloomington, IL Metropolitan Statistical Area",331,624
340,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",329,"1,257"
341,"Elkhart-Goshen, IN Metropolitan Statistical Area",328,668
342,"Kankakee, IL Metropolitan Statistical Area",326,359
343,"Morristown, TN Metropolitan Statistical Area",326,382
344,"London, KY Micropolitan Statistical Area",325,416
345,"Rochester, MN Metropolitan Statistical Area",325,701
346,"Flagstaff, AZ Metropolitan Statistical Area",322,454
347,"Lancaster, PA Metropolitan Statistical Area",321,"1,727"
348,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",319,583
349,"Gettysburg, PA Metropolitan Statistical Area",316,323
350,"Kennewick-Richland, WA Metropolitan Statistical Area",316,897
351,"Goldsboro, NC Metropolitan Statistical Area",313,388
352,"Ottawa-Peru, IL Micropolitan Statistical Area",308,461
353,"College Station-Bryan, TX Metropolitan Statistical Area",306,781
354,"State College, PA Metropolitan Statistical Area",306,494
355,"Odessa, TX Metropolitan Statistical Area",304,479
356,"St. Cloud, MN Metropolitan Statistical Area",304,595
357,"Ogdensburg-Massena, NY Micropolitan Statistical Area",303,333
358,"Farmington, NM Metropolitan Statistical Area",298,343
359,"Hanford-Corcoran, CA Metropolitan Statistical Area",296,443
360,"Logan, UT-ID Metropolitan Statistical Area",294,400
361,"Iowa City, IA Metropolitan Statistical Area",292,493
362,"Sheboygan, WI Metropolitan Statistical Area",289,334
363,"Brownsville-Harlingen, TX Metropolitan Statistical Area",288,"1,214"
364,"Fargo, ND-MN Metropolitan Statistical Area",285,678
365,"Sioux City, IA-NE-SD Metropolitan Statistical Area",284,481
366,"Yakima, WA Metropolitan Statistical Area",282,705
367,"Provo-Orem, UT Metropolitan Statistical Area",281,"1,694"
368,"Lynchburg, VA Metropolitan Statistical Area",278,723
369,"Grand Forks, ND-MN Metropolitan Statistical Area",277,285
370,"Yuma, AZ Metropolitan Statistical Area",269,554
371,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",266,452
372,"Bismarck, ND Metropolitan Statistical Area",264,347
373,"Madera, CA Metropolitan Statistical Area",255,395
374,"Laredo, TX Metropolitan Statistical Area",251,681
375,"Merced, CA Metropolitan Statistical Area",248,667
376,"Holland, MI Micropolitan Statistical Area",246,284
377,"Visalia-Porterville, CA Metropolitan Statistical Area",240,"1,104"
378,"Roanoke, VA Metropolitan Statistical Area",226,710
379,"Harrisonburg, VA Metropolitan Statistical Area",220,292
380,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",199,"1,693"
381,"El Centro, CA Metropolitan Statistical Area",192,347
382,"Danville, VA Micropolitan Statistical Area",173,179
383,"Staunton-Waynesboro, VA Metropolitan Statistical Area",141,171
384,"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",76,"1,635"
385,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",61,"1,055"
386,"Ponce, PR Metropolitan Statistical Area",61,188
387,"Aguadilla-Isabela, PR Metropolitan Statistical Area",57,175
388,"San Germán, PR Metropolitan Statistical Area",56,72
389,"Arecibo, PR Metropolitan Statistical Area",55,101
,,,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
