Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
137,"St. Louis, MO-IL Metropolitan Statistical Area",91,"2,548"
138,"Rocky Mount, NC Metropolitan Statistical Area",90,133
139,"Manchester-Nashua, NH Metropolitan Statistical Area",90,367
140,"New Orleans-Metairie, LA Metropolitan Statistical Area",90,"1,140"
141,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",89,760
142,"Winston-Salem, NC Metropolitan Statistical Area",89,591
143,"Fort Wayne, IN Metropolitan Statistical Area",89,384
144,"Asheville, NC Metropolitan Statistical Area",89,402
145,"Aguadilla-Isabela, PR Metropolitan Statistical Area",89,275
146,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",89,240
147,"Jacksonville, NC Metropolitan Statistical Area",88,164
148,"Oklahoma City, OK Metropolitan Statistical Area",87,"1,201"
149,"Wichita, KS Metropolitan Statistical Area",87,563
150,"Muskegon, MI Metropolitan Statistical Area",87,150
151,"Bloomington, IL Metropolitan Statistical Area",86,163
152,"Champaign-Urbana, IL Metropolitan Statistical Area",86,206
153,"York-Hanover, PA Metropolitan Statistical Area",86,383
154,"Redding, CA Metropolitan Statistical Area",86,155
155,"Idaho Falls, ID Metropolitan Statistical Area",86,123
156,"Topeka, KS Metropolitan Statistical Area",86,201
157,"Greensboro-High Point, NC Metropolitan Statistical Area",86,649
158,"Reading, PA Metropolitan Statistical Area",86,355
159,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",85,415
160,"Kingston, NY Metropolitan Statistical Area",85,153
161,"Bellingham, WA Metropolitan Statistical Area",85,185
162,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",85,540
163,"Pittsburgh, PA Metropolitan Statistical Area",85,"1,992"
164,"Ithaca, NY Metropolitan Statistical Area",85,89
165,"Chattanooga, TN-GA Metropolitan Statistical Area",85,468
166,"Laredo, TX Metropolitan Statistical Area",85,230
167,"Twin Falls, ID Micropolitan Statistical Area",85,90
168,"Flagstaff, AZ Metropolitan Statistical Area",84,119
169,"Mobile, AL Metropolitan Statistical Area",84,350
170,"Valdosta, GA Metropolitan Statistical Area",84,122
171,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",84,"1,322"
172,"Birmingham-Hoover, AL Metropolitan Statistical Area",84,963
173,"Lawrence, KS Metropolitan Statistical Area",84,100
174,"Visalia-Porterville, CA Metropolitan Statistical Area",84,385
175,"Columbus, OH Metropolitan Statistical Area",83,"1,699"
176,"Roseburg, OR Micropolitan Statistical Area",83,90
