State: Identity Theft Reports,,,
,,,
State,Identity Theft Type,# of Reports,Percentage
Pennsylvania,Employment or Tax-Related Fraud,2171,17%
Pennsylvania,Government Documents or Benefits Fraud,637,5%
Pennsylvania,Loan or Lease Fraud,864,7%
Pennsylvania,Phone or Utilities Fraud,2361,19%
Puerto Rico,Bank Fraud,73,4%
Puerto Rico,Credit Card Fraud,477,23%
Puerto Rico,Employment or Tax-Related Fraud,693,34%
Puerto Rico,Government Documents or Benefits Fraud,142,7%
Puerto Rico,Loan or Lease Fraud,152,7%
Puerto Rico,Phone or Utilities Fraud,543,27%
Rhode Island,Bank Fraud,131,10%
Rhode Island,Credit Card Fraud,407,31%
Rhode Island,Employment or Tax-Related Fraud,461,35%
Rhode Island,Government Documents or Benefits Fraud,69,5%
Rhode Island,Loan or Lease Fraud,74,6%
Rhode Island,Phone or Utilities Fraud,177,14%
South Carolina,Bank Fraud,573,13%
South Carolina,Credit Card Fraud,1555,34%
South Carolina,Employment or Tax-Related Fraud,752,17%
South Carolina,Government Documents or Benefits Fraud,242,5%
South Carolina,Loan or Lease Fraud,527,12%
South Carolina,Phone or Utilities Fraud,948,21%
South Dakota,Bank Fraud,69,17%
South Dakota,Credit Card Fraud,181,45%
South Dakota,Employment or Tax-Related Fraud,79,20%
South Dakota,Government Documents or Benefits Fraud,14,3%
South Dakota,Loan or Lease Fraud,38,9%
South Dakota,Phone or Utilities Fraud,43,11%
Tennessee,Bank Fraud,751,13%
Tennessee,Credit Card Fraud,1706,31%
Tennessee,Employment or Tax-Related Fraud,1150,21%
Tennessee,Government Documents or Benefits Fraud,743,13%
Tennessee,Loan or Lease Fraud,492,9%
Tennessee,Phone or Utilities Fraud,726,13%
Texas,Bank Fraud,4554,14%
Texas,Credit Card Fraud,11028,33%
Texas,Employment or Tax-Related Fraud,7489,22%
Texas,Government Documents or Benefits Fraud,2310,7%
Texas,Loan or Lease Fraud,3811,11%
Texas,Phone or Utilities Fraud,5245,16%
Utah,Bank Fraud,376,15%
Utah,Credit Card Fraud,841,34%
Utah,Employment or Tax-Related Fraud,535,22%
Utah,Government Documents or Benefits Fraud,120,5%
Utah,Loan or Lease Fraud,342,14%
Utah,Phone or Utilities Fraud,257,10%
Virginia,Bank Fraud,1132,15%
Virginia,Credit Card Fraud,2986,39%
Virginia,Employment or Tax-Related Fraud,1445,19%
Virginia,Government Documents or Benefits Fraud,323,4%
Virginia,Loan or Lease Fraud,539,7%
Virginia,Phone or Utilities Fraud,1276,17%
Vermont,Bank Fraud,58,16%
Vermont,Credit Card Fraud,158,45%
Vermont,Employment or Tax-Related Fraud,50,14%
Vermont,Government Documents or Benefits Fraud,13,4%
Vermont,Loan or Lease Fraud,20,6%
Vermont,Phone or Utilities Fraud,46,13%
Washington,Bank Fraud,1355,18%
Washington,Credit Card Fraud,3271,44%
Washington,Employment or Tax-Related Fraud,1280,17%
Washington,Government Documents or Benefits Fraud,463,6%
Washington,Loan or Lease Fraud,447,6%
Washington,Phone or Utilities Fraud,899,12%
Wisconsin,Bank Fraud,492,13%
Wisconsin,Credit Card Fraud,1394,37%
Wisconsin,Employment or Tax-Related Fraud,859,23%
Wisconsin,Government Documents or Benefits Fraud,228,6%
Wisconsin,Loan or Lease Fraud,280,8%
Wisconsin,Phone or Utilities Fraud,450,12%
West Virginia,Bank Fraud,157,16%
West Virginia,Credit Card Fraud,320,32%
West Virginia,Employment or Tax-Related Fraud,162,16%
West Virginia,Government Documents or Benefits Fraud,50,5%
West Virginia,Loan or Lease Fraud,48,5%
West Virginia,Phone or Utilities Fraud,232,23%
Wyoming,Bank Fraud,47,12%
Wyoming,Credit Card Fraud,126,32%
Wyoming,Employment or Tax-Related Fraud,72,19%
Wyoming,Government Documents or Benefits Fraud,12,3%
Wyoming,Loan or Lease Fraud,28,7%
Wyoming,Phone or Utilities Fraud,85,22%
,,,
Percentages are based on the total number of relevant 2017 reports from corresponding state's consumers,,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
