Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2019,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","45,736",1.33%
2019,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"2,985",0.09%
2019,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"5,539",0.16%
2019,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"3,116",0.09%
2019,Telephone and Mobile Services,Phone Billing‡,"1,322",0.04%
2019,Telephone and Mobile Services,Phone Carrier Switching,788,0.02%
2019,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","25,449",0.74%
2019,Telephone and Mobile Services,Prepaid Phone Cards,"1,102",0.03%
2019,Telephone and Mobile Services,Telephone: Other§,"27,503",0.80%
2019,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,525,0.02%
2019,Telephone and Mobile Services,Telephone: VoIP Services§,813,0.02%
2019,Television and Electronic Media,Cable & Satellite TV,"55,376",1.62%
2019,Television and Electronic Media,Streaming & Digital Media,"1,297",0.04%
2019,Television and Electronic Media,TV Programming & Ads,"2,312",0.07%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,442",0.07%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"7,052",0.21%
2019,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"28,503",0.83%
2019,Unspecified Reports,Other Misc.,"297,151",8.67%
2019,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,556",0.05%
2019,Unspecified Reports,Unsolicited Email,"40,138",1.17%
2019,Unspecified Reports,Unsolicited Text Messages,"107,673",3.14%
2019,Unspecified Reports,Unwanted Telemarketing Calls,"299,666",8.74%
2020,Advance Payments for Credit Services,Advance-Fee Credit,"13,237",0.27%
2020,Advance Payments for Credit Services,Credit Card Loss Protection,219,0.00%
2020,Advance Payments for Credit Services,Credit Repair,"3,432",0.07%
2020,Advance Payments for Credit Services,Refund Scams,351,0.01%
2020,Auto Related,Auto Financing,"9,802",0.20%
2020,Auto Related,Auto Parts & Repairs,"28,916",0.59%
2020,Auto Related,Auto Renting & Leasing,"11,926",0.25%
2020,Auto Related,Auto Service & Warranties,"11,553",0.24%
2020,Auto Related,Gasoline,704,0.01%
2020,Auto Related,New Auto Sales,"37,259",0.77%
2020,Auto Related,Used Auto Sales,"33,439",0.69%
2020,Banks and Lenders,Auto Title Lending,"1,014",0.02%
2020,Banks and Lenders,Bank & Credit Union Lending,615,0.01%
2020,Banks and Lenders,"Banks, Credit Unions & S&Ls","70,331",1.45%
2020,Banks and Lenders,Finance Company Lending,"10,118",0.21%
2020,Banks and Lenders,Misc. Institution Lending,"16,817",0.35%
2020,Banks and Lenders,Mortgage Lending,"41,747",0.86%
2020,Banks and Lenders,Payday Loans,"6,459",0.13%
2020,Banks and Lenders,Student Loans,"37,774",0.78%
2020,Business and Job Opportunities,Business & Work-at-Home Opportunities,"18,778",0.39%
2020,Business and Job Opportunities,Franchises & Distributorships*,919,0.02%
2020,Business and Job Opportunities,Invention Promotion,"1,054",0.02%
2020,Business and Job Opportunities,Job Scams & Employment Agencies,"36,727",0.75%
2020,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"4,055",0.08%
2020,Charitable Solicitations,Charitable Solicitations,"4,843",0.10%
2020,Computer Equipment and Software,Computer Equipment & Software,"22,471",0.46%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"317,757",6.53%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,876,0.02%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,353,0.01%
2020,Credit Cards,Credit Cards,"68,495",1.41%
2020,Debt Collection,Creditor Debt Collection,"40,095",0.82%
2020,Debt Collection,Third Party Debt Collection,"84,395",1.73%
2020,Education,Colleges & Universities,"24,525",0.50%
2020,Education,Trade & Vocational Schools,"3,035",0.06%
2020,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,672",0.75%
2020,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,487",0.05%
2020,Funeral Services,Funeral Services,"1,427",0.03%
2020,Grants,Non-Educational Grants,"3,532",0.07%
2020,Grants,Scholarships & Educational Grants,639,0.01%
2020,Health Care,Connected Wearable Devices*,136,0.00%
2020,Health Care,"Diet Products, Plans & Centers","32,133",0.66%
2020,Health Care,Eye Care*,"6,239",0.13%
2020,Health Care,Health Care Billing,"1,485",0.03%
2020,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"3,814",0.08%
2020,Health Care,Health Care: Drugs-OTC\Prescription§,"2,466",0.05%
2020,Health Care,Health Care: Other Medical Treatments*§,"13,118",0.27%
2020,Health Care,Health Care: Other Products\Supplies*§,"9,024",0.19%
2020,Health Care,Medical Insurance & Discount Plans,"6,198",0.13%
2020,Health Care,Medical Treatments & Cures‡,"10,834",0.22%
2020,Health Care,Misc. Medical*‡,"5,518",0.11%
2020,"Home Repair, Improvement and Products",Home Appliances,"4,189",0.09%
2020,"Home Repair, Improvement and Products",Home Furnishings,"3,274",0.07%
2020,"Home Repair, Improvement and Products",Home Protection Devices,"1,139",0.02%
2020,"Home Repair, Improvement and Products",Home Repair,"32,029",0.66%
2020,"Home Repair, Improvement and Products",Home Warranties‡,"1,567",0.03%
2020,"Home Repair, Improvement and Products",Housing,"18,792",0.39%
2020,Identity Theft,Identity Theft,"1,388,540",28.54%
2020,Imposter Scams,Business Imposters,"156,929",3.23%
2020,Imposter Scams,Family & Friend Imposters,"25,444",0.52%
2020,Imposter Scams,Government Imposters,"179,267",3.68%
2020,Imposter Scams,Romance Scams,"54,209",1.11%
2020,Imposter Scams,Tech Support Scams,"98,159",2.02%
2020,Internet Auction,Internet Auction§,"1,823",0.04%
2020,Internet Services,Broadband Internet Access*,"5,075",0.10%
2020,Internet Services,Broadband Internet Cost*,"5,246",0.11%
2020,Internet Services,Broadband Internet Speed*,"1,699",0.03%
2020,Internet Services,Gaming & Virtual Reality*,"8,015",0.16%
2020,Internet Services,Internet Information Services§,"41,849",0.86%
2020,Internet Services,Online Payment Services,"43,849",0.90%
2020,Internet Services,Social Networking Services,"32,691",0.67%
2020,Internet Services,Website Content‡,"7,331",0.15%
2020,Internet Services,Website Design & Promotion,"4,471",0.09%
2020,Investment Related,"Art, Gems & Rare Coin Investments","1,087",0.02%
2020,Investment Related,Investment Seminars & Advice,"2,909",0.06%
2020,Investment Related,Miscellaneous Investments,"20,959",0.43%
2020,Investment Related,Stocks & Commodity Futures Trading,"1,959",0.04%
2020,Magazines and Books,Books & Magazines,"6,835",0.14%
2020,Miscellaneous Reports,Business Equipment & Facilities Leasing,287,0.01%
2020,Miscellaneous Reports,Children's Products,"2,183",0.04%
2020,Miscellaneous Reports,Food,"3,632",0.07%
2020,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",983,0.02%
2020,Miscellaneous Reports,Immigration Services,"1,167",0.02%
2020,Miscellaneous Reports,Insurance (excl. Medical),"6,423",0.13%
2020,Miscellaneous Reports,Jewelry & Watches,"6,693",0.14%
2020,Miscellaneous Reports,Modeling Agencies\Services§,161,0.00%
2020,Miscellaneous Reports,Personal Care Products,"3,495",0.07%
2020,Miscellaneous Reports,Property & Inheritance Tracers,357,0.01%
2020,Miscellaneous Reports,Real Estate,"21,288",0.44%
2020,Miscellaneous Reports,Tobacco Products,"1,229",0.03%
2020,Miscellaneous Reports,Utilities,"4,284",0.09%
2020,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"10,139",0.21%
2020,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,936,0.02%
2020,Office Supplies and Services,Office Directory Listings & Ad Space,"3,448",0.07%
2020,Office Supplies and Services,Office Supplies & Services,"2,314",0.05%
2020,Online Shopping and Negative Reviews,Negative Online Reviews*,"1,970",0.04%
2020,Online Shopping and Negative Reviews,Online Shopping,"369,324",7.59%
2020,"Privacy, Data Security, and Cyber Threats‡",Malware & Computer Exploits†,"71,859",1.48%
2020,"Privacy, Data Security, and Cyber Threats‡",Privacy & Data Security‡,"4,672",0.10%
2020,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","116,454",2.39%
2020,Tax Preparers,Tax Preparers,"4,901",0.10%
2020,Telephone and Mobile Services,Connected Non-Wearable Devices*,618,0.01%
2020,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","26,795",0.55%
2020,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"3,925",0.08%
2020,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"10,305",0.21%
2020,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"3,099",0.06%
2020,Telephone and Mobile Services,Phone Billing‡,"6,144",0.13%
2020,Telephone and Mobile Services,Phone Carrier Switching,966,0.02%
2020,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","44,449",0.91%
2020,Telephone and Mobile Services,Prepaid Phone Cards,978,0.02%
2020,Telephone and Mobile Services,Telephone: Other§,"17,452",0.36%
2020,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,410,0.01%
2020,Telephone and Mobile Services,Telephone: VoIP Services§,649,0.01%
2020,Television and Electronic Media,Cable & Satellite TV,"49,899",1.03%
2020,Television and Electronic Media,Streaming & Digital Media,"2,347",0.05%
2020,Television and Electronic Media,TV Programming & Ads,"2,174",0.04%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,581",0.05%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"7,101",0.15%
2020,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"68,003",1.40%
2020,Unspecified Reports,Other Misc.,"438,506",9.01%
2020,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,340",0.03%
2020,Unspecified Reports,Unsolicited Email,"112,695",2.32%
2020,Unspecified Reports,Unsolicited Text Messages,"305,749",6.28%
2020,Unspecified Reports,Unwanted Telemarketing Calls,"155,808",3.20%
2021,Advance Payments for Credit Services,Advance-Fee Credit,"20,540",0.36%
2021,Advance Payments for Credit Services,Credit Card Loss Protection,124,0.00%
2021,Advance Payments for Credit Services,Credit Repair,"3,151",0.05%
2021,Advance Payments for Credit Services,Refund Scams,339,0.01%
2021,Auto Related,Auto Financing,"10,206",0.18%
2021,Auto Related,Auto Parts & Repairs,"26,071",0.45%
2021,Auto Related,Auto Renting & Leasing,"14,082",0.25%
2021,Auto Related,Auto Service & Warranties,"14,011",0.24%
2021,Auto Related,Gasoline,493,0.01%
2021,Auto Related,New Auto Sales,"37,074",0.65%
2021,Auto Related,Used Auto Sales,"37,392",0.65%
2021,Banks and Lenders,Auto Title Lending,833,0.01%
2021,Banks and Lenders,Bank & Credit Union Lending,763,0.01%
2021,Banks and Lenders,"Banks, Credit Unions & S&Ls","74,812",1.30%
2021,Banks and Lenders,Finance Company Lending,"10,331",0.18%
2021,Banks and Lenders,Misc. Institution Lending,"17,509",0.31%
2021,Banks and Lenders,Mortgage Lending,"44,848",0.78%
2021,Banks and Lenders,Payday Loans,"5,942",0.10%
2021,Banks and Lenders,Student Loans,"40,474",0.71%
2021,Business and Job Opportunities,Business & Work-at-Home Opportunities,"15,252",0.27%
2021,Business and Job Opportunities,Franchises & Distributorships*,"1,017",0.02%
2021,Business and Job Opportunities,Invention Promotion,565,0.01%
2021,Business and Job Opportunities,Job Scams & Employment Agencies,"79,226",1.38%
2021,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"8,022",0.14%
2021,Charitable Solicitations,Charitable Solicitations,"9,270",0.16%
2021,Computer Equipment and Software,Computer Equipment & Software,"15,701",0.27%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"591,386",10.31%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,"1,141",0.02%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,748,0.01%
2021,Credit Cards,Credit Cards,"65,173",1.14%
2021,Debt Collection,Creditor Debt Collection,"58,019",1.01%
2021,Debt Collection,Third Party Debt Collection,"93,417",1.63%
2021,Education,Colleges & Universities,"19,859",0.35%
2021,Education,Trade & Vocational Schools,"3,000",0.05%
2021,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,752",0.64%
2021,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,400",0.04%
2021,Funeral Services,Funeral Services,"1,310",0.02%
2021,Grants,Non-Educational Grants,"4,003",0.07%
2021,Grants,Scholarships & Educational Grants,281,0.00%
2021,Health Care,Connected Wearable Devices*,53,0.00%
2021,Health Care,"Diet Products, Plans & Centers","26,235",0.46%
2021,Health Care,Eye Care*,"4,881",0.09%
2021,Health Care,Health Care Billing,"1,599",0.03%
2021,Health Care,Medical Insurance & Discount Plans,"5,485",0.10%
2021,Health Care,Medical Treatments & Cures‡,"31,617",0.55%
2021,Health Care,Misc. Medical*‡,"20,070",0.35%
2021,"Home Repair, Improvement and Products",Home Appliances,"3,957",0.07%
2021,"Home Repair, Improvement and Products",Home Furnishings,"4,976",0.09%
2021,"Home Repair, Improvement and Products",Home Protection Devices,"1,037",0.02%
2021,"Home Repair, Improvement and Products",Home Repair,"16,486",0.29%
2021,"Home Repair, Improvement and Products",Home Warranties‡,"16,909",0.29%
2021,"Home Repair, Improvement and Products",Housing,"27,301",0.48%
2021,Identity Theft,Identity Theft,"1,434,676",25.01%
2021,Imposter Scams,Business Imposters,"394,742",6.88%
2021,Imposter Scams,Family & Friend Imposters,"35,940",0.63%
2021,Imposter Scams,Government Imposters,"396,302",6.91%
2021,Imposter Scams,Romance Scams,"77,280",1.35%
2021,Imposter Scams,Tech Support Scams,"113,612",1.98%
2021,Internet Services,Broadband Internet Access*,"5,419",0.09%
2021,Internet Services,Broadband Internet Cost*,"7,189",0.13%
2021,Internet Services,Broadband Internet Speed*,"1,622",0.03%
2021,Internet Services,Gaming & Virtual Reality*,"5,933",0.10%
2021,Internet Services,Online Payment Services,"48,516",0.85%
2021,Internet Services,Social Networking Services,"32,095",0.56%
2021,Internet Services,Website Content‡,"19,535",0.34%
2021,Internet Services,Website Design & Promotion,"3,371",0.06%
2021,Investment Related,"Art, Gems & Rare Coin Investments","1,362",0.02%
2021,Investment Related,Investment Seminars & Advice,"3,316",0.06%
2021,Investment Related,Miscellaneous Investments,"70,478",1.23%
2021,Investment Related,Stocks & Commodity Futures Trading,"3,852",0.07%
2021,Magazines and Books,Books & Magazines,"5,541",0.10%
2021,Miscellaneous Reports,Business Equipment & Facilities Leasing,200,0.00%
2021,Miscellaneous Reports,Children's Products,"1,531",0.03%
2021,Miscellaneous Reports,Food,"2,385",0.04%
2021,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles","1,041",0.02%
2021,Miscellaneous Reports,Immigration Services,513,0.01%
2021,Miscellaneous Reports,Insurance (excl. Medical),"6,067",0.11%
2021,Miscellaneous Reports,Jewelry & Watches,"4,882",0.09%
2021,Miscellaneous Reports,Personal Care Products,"2,503",0.04%
2021,Miscellaneous Reports,Property & Inheritance Tracers,836,0.01%
2021,Miscellaneous Reports,Real Estate,"18,857",0.33%
2021,Miscellaneous Reports,Tobacco Products,816,0.01%
2021,Miscellaneous Reports,Utilities,"4,403",0.08%
2021,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"20,590",0.36%
2021,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,672,0.01%
2021,Office Supplies and Services,Office Directory Listings & Ad Space,"2,008",0.03%
2021,Office Supplies and Services,Office Supplies & Services,"1,601",0.03%
2021,Online Shopping and Negative Reviews,Negative Online Reviews*,468,0.01%
2021,Online Shopping and Negative Reviews,Online Shopping,"397,826",6.93%
2021,"Privacy, Data Security, and Cyber Threats‡",Malware & Computer Exploits†,"51,454",0.90%
2021,"Privacy, Data Security, and Cyber Threats‡",Privacy & Data Security‡,"18,724",0.33%
2021,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","148,243",2.58%
2021,Tax Preparers,Tax Preparers,"5,424",0.09%
2021,Telephone and Mobile Services,Connected Non-Wearable Devices*,89,0.00%
2021,Telephone and Mobile Services,Phone Billing‡,"17,312",0.30%
2021,Telephone and Mobile Services,Phone Carrier Switching,157,0.00%
2021,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","75,366",1.31%
2021,Telephone and Mobile Services,Prepaid Phone Cards,609,0.01%
2021,Television and Electronic Media,Cable & Satellite TV,"37,784",0.66%
2021,Television and Electronic Media,Streaming & Digital Media,"2,003",0.03%
2021,Television and Electronic Media,TV Programming & Ads,"2,121",0.04%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"1,990",0.03%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"5,567",0.10%
2021,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"46,354",0.81%
2021,Unspecified Reports,Other Misc.,"503,069",8.77%
2021,Unspecified Reports,Unsolicited Email,"171,465",2.99%
2021,Unspecified Reports,Unsolicited Text Messages,"298,115",5.20%
2021,Unspecified Reports,Unwanted Telemarketing Calls,"189,400",3.30%
,,,,
,,,,
"Percentages are based on the total number of Sentinel reports in 2019 (3,428,818), 2020 (4,865,023), and 2021 (5,737,265). Consumers can report more than one category or subcategory.",,,,
* These subcategories are counted as Other report types even though the broader category assigned is Fraud.,,,,
† This subcategory is counted as Fraud even though the broader category assigned is Other.,,,,
"‡ These categories or subcategories were added on October 22, 2020.",,,,
"§ These categories or subcategories were retired on October 22, 2020.  Reports about internet auctions submitted after this date are included in the Online Shopping subcategory.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,,
