State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
California,Auto Related,"11,713",2%
California,Business and Job Opportunities,"9,831",2%
Colorado,Identity Theft,"33,572",34%
Colorado,Imposter Scams,"16,375",17%
Colorado,Online Shopping and Negative Reviews,"6,480",7%
Colorado,Banks and Lenders,"3,443",4%
Colorado,"Credit Bureaus, Information Furnishers and Report Users","3,280",3%
Colorado,"Prizes, Sweepstakes and Lotteries","2,748",3%
Colorado,Auto Related,"2,297",2%
Colorado,Internet Services,"2,117",2%
Colorado,Business and Job Opportunities,"1,775",2%
Colorado,Health Care,"1,739",2%
Connecticut,Imposter Scams,"7,341",19%
Connecticut,Identity Theft,"6,666",17%
Connecticut,Online Shopping and Negative Reviews,"3,575",9%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users","3,085",8%
Connecticut,Banks and Lenders,"2,123",5%
Connecticut,Auto Related,"1,403",4%
Connecticut,Internet Services,"1,212",3%
Connecticut,"Prizes, Sweepstakes and Lotteries",1115,3%
Connecticut,Debt Collection,1027,3%
Connecticut,Telephone and Mobile Services,802,2%
Delaware,Identity Theft,"5,449",28%
Delaware,"Credit Bureaus, Information Furnishers and Report Users","2,948",15%
Delaware,Imposter Scams,2532,13%
Delaware,Online Shopping and Negative Reviews,1121,6%
Delaware,Banks and Lenders,823,4%
Delaware,Debt Collection,655,3%
Delaware,"Prizes, Sweepstakes and Lotteries",544,3%
Delaware,Auto Related,473,2%
Delaware,Internet Services,461,2%
Delaware,Credit Cards,330,2%
District of Columbia,Identity Theft,"4,072",25%
District of Columbia,Imposter Scams,"2,574",16%
District of Columbia,"Credit Bureaus, Information Furnishers and Report Users",2104,13%
District of Columbia,Banks and Lenders,1011,6%
District of Columbia,Online Shopping and Negative Reviews,996,6%
District of Columbia,Auto Related,398,2%
District of Columbia,Debt Collection,393,2%
District of Columbia,Internet Services,361,2%
District of Columbia,"Prizes, Sweepstakes and Lotteries",282,2%
District of Columbia,Credit Cards,278,2%
Florida,Identity Theft,"110,675",27%
Florida,"Credit Bureaus, Information Furnishers and Report Users","68,001",17%
Florida,Imposter Scams,"54,249",13%
Florida,Online Shopping and Negative Reviews,"21,937",5%
Florida,Banks and Lenders,"15,183",4%
Florida,Debt Collection,"14,913",4%
Florida,Auto Related,"10,549",3%
Florida,"Prizes, Sweepstakes and Lotteries","8,280",2%
Florida,Internet Services,"8,215",2%
Florida,Business and Job Opportunities,"6,682",2%
Georgia,Identity Theft,"65,666",30%
Georgia,"Credit Bureaus, Information Furnishers and Report Users","45,012",21%
Georgia,Imposter Scams,"21,062",10%
Georgia,Debt Collection,"11,062",5%
Georgia,Online Shopping and Negative Reviews,"9,459",4%
Georgia,Banks and Lenders,"8,291",4%
Georgia,Auto Related,"6,794",3%
Georgia,"Prizes, Sweepstakes and Lotteries","3,864",2%
Georgia,Internet Services,"3,714",2%
Georgia,"Home Repair, Improvement and Products","3,525",2%
Hawaii,Imposter Scams,"3,448",23%
Hawaii,Identity Theft,"2,993",20%
Hawaii,Online Shopping and Negative Reviews,1275,8%
Hawaii,"Prizes, Sweepstakes and Lotteries",733,5%
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",667,4%
Hawaii,Banks and Lenders,546,4%
Hawaii,Internet Services,460,3%
Hawaii,Auto Related,334,2%
Hawaii,Health Care,317,2%
Hawaii,Investment Related,286,2%
Idaho,Imposter Scams,"4,033",23%
Idaho,Identity Theft,"2,719",16%
Idaho,Online Shopping and Negative Reviews,1672,10%
Idaho,"Prizes, Sweepstakes and Lotteries",851,5%
Idaho,Banks and Lenders,627,4%
Idaho,"Credit Bureaus, Information Furnishers and Report Users",512,3%
Idaho,Auto Related,494,3%
Idaho,Internet Services,448,3%
Idaho,Business and Job Opportunities,387,2%
Idaho,Debt Collection,370,2%
Illinois,Identity Theft,"117,056",46%
Illinois,Imposter Scams,"29,690",12%
Illinois,"Credit Bureaus, Information Furnishers and Report Users","21,073",8%
Illinois,Online Shopping and Negative Reviews,"11,277",4%
Illinois,Banks and Lenders,"7,408",3%
Illinois,Auto Related,"4,704",2%
Illinois,Debt Collection,"4,492",2%
Illinois,Internet Services,"4,022",2%
Illinois,"Prizes, Sweepstakes and Lotteries","3,675",1%
Illinois,Telephone and Mobile Services,"3,559",1%
Indiana,Imposter Scams,"15,376",22%
Indiana,Identity Theft,"11,866",17%
Indiana,Online Shopping and Negative Reviews,"5,806",8%
Indiana,"Credit Bureaus, Information Furnishers and Report Users","4,128",6%
Indiana,"Prizes, Sweepstakes and Lotteries","3,083",4%
Indiana,Banks and Lenders,"2,512",4%
Indiana,Auto Related,"1,884",3%
Indiana,Internet Services,"1,859",3%
Indiana,Debt Collection,"1,795",3%
Indiana,Telephone and Mobile Services,1694,2%
Iowa,Imposter Scams,"5,775",24%
Iowa,Identity Theft,"3,758",16%
Iowa,Online Shopping and Negative Reviews,"2,393",10%
Iowa,"Credit Bureaus, Information Furnishers and Report Users",1266,5%
Iowa,Banks and Lenders,903,4%
Iowa,"Prizes, Sweepstakes and Lotteries",895,4%
Iowa,Debt Collection,690,3%
Iowa,Internet Services,647,3%
Iowa,Auto Related,625,3%
Iowa,Business and Job Opportunities,477,2%
Kansas,Identity Theft,"39,461",62%
Kansas,Imposter Scams,"6,560",10%
Kansas,Online Shopping and Negative Reviews,"2,356",4%
Kansas,"Prizes, Sweepstakes and Lotteries","1,412",2%
Kansas,"Credit Bureaus, Information Furnishers and Report Users",1187,2%
Kansas,Banks and Lenders,1071,2%
Kansas,Auto Related,738,1%
Kansas,Internet Services,721,1%
Kansas,Business and Job Opportunities,683,1%
Kansas,Debt Collection,677,1%
Kentucky,Identity Theft,"10,416",23%
Kentucky,Imposter Scams,"8,582",19%
Kentucky,Online Shopping and Negative Reviews,"3,618",8%
Kentucky,"Prizes, Sweepstakes and Lotteries","2,141",5%
Kentucky,"Credit Bureaus, Information Furnishers and Report Users","1,923",4%
Kentucky,Banks and Lenders,"1,558",3%
Kentucky,Auto Related,"1,345",3%
Kentucky,Telephone and Mobile Services,"1,236",3%
Kentucky,Business and Job Opportunities,1172,3%
Kentucky,Internet Services,1171,3%
Louisiana,Identity Theft,"34,043",38%
Louisiana,"Credit Bureaus, Information Furnishers and Report Users","21,223",24%
Louisiana,Imposter Scams,"8,052",9%
Louisiana,Online Shopping and Negative Reviews,"3,217",4%
Louisiana,Debt Collection,"2,772",3%
Louisiana,Banks and Lenders,"2,290",3%
Louisiana,"Prizes, Sweepstakes and Lotteries","1,648",2%
Louisiana,Auto Related,"1,485",2%
Louisiana,Telephone and Mobile Services,1171,1%
Louisiana,Internet Services,1074,1%
Maine,Imposter Scams,"3,386",26%
Maine,Identity Theft,2239,17%
Maine,Online Shopping and Negative Reviews,1372,10%
Maine,"Prizes, Sweepstakes and Lotteries",702,5%
Maine,Banks and Lenders,558,4%
Maine,Internet Services,375,3%
Maine,Auto Related,330,2%
Maine,"Credit Bureaus, Information Furnishers and Report Users",302,2%
Maine,Health Care,270,2%
Maine,Debt Collection,258,2%
Maryland,Identity Theft,"29,778",26%
Maryland,"Credit Bureaus, Information Furnishers and Report Users","17,769",15%
Maryland,Imposter Scams,"16,760",15%
Maryland,Online Shopping and Negative Reviews,"6,761",6%
Maryland,Banks and Lenders,"5,302",5%
Maryland,Debt Collection,"3,217",3%
Maryland,"Prizes, Sweepstakes and Lotteries","2,688",2%
Maryland,Auto Related,"2,676",2%
Maryland,Internet Services,"2,232",2%
Maryland,Business and Job Opportunities,"2,057",2%
Massachusetts,Imposter Scams,"17,144",20%
Massachusetts,Identity Theft,"16,566",20%
Massachusetts,Online Shopping and Negative Reviews,"7,242",9%
Massachusetts,"Credit Bureaus, Information Furnishers and Report Users","5,965",7%
Massachusetts,Debt Collection,"4,041",5%
Massachusetts,Banks and Lenders,"3,734",4%
Massachusetts,Auto Related,"2,405",3%
Massachusetts,"Prizes, Sweepstakes and Lotteries","2,109",3%
Massachusetts,Internet Services,"2,093",2%
Massachusetts,Credit Cards,"1,753",2%
Michigan,Imposter Scams,"22,472",21%
Michigan,Identity Theft,"20,556",19%
Michigan,"Credit Bureaus, Information Furnishers and Report Users","10,233",9%
Michigan,Online Shopping and Negative Reviews,"9,211",8%
Michigan,Banks and Lenders,"4,545",4%
Michigan,"Prizes, Sweepstakes and Lotteries","4,099",4%
Michigan,Debt Collection,"3,216",3%
Michigan,Internet Services,"2,850",3%
Michigan,Telephone and Mobile Services,"2,537",2%
Michigan,Auto Related,"2,528",2%
Minnesota,Imposter Scams,"13,059",24%
Minnesota,Identity Theft,"9,457",17%
Minnesota,Online Shopping and Negative Reviews,"4,866",9%
Minnesota,"Credit Bureaus, Information Furnishers and Report Users","2,765",5%
Minnesota,"Prizes, Sweepstakes and Lotteries","2,391",4%
Minnesota,Banks and Lenders,"2,212",4%
Minnesota,Internet Services,"1,429",3%
Minnesota,Auto Related,1414,3%
Minnesota,Debt Collection,1381,3%
Minnesota,Telephone and Mobile Services,1219,2%
Mississippi,Identity Theft,"9,906",27%
Mississippi,"Credit Bureaus, Information Furnishers and Report Users","7,208",20%
Mississippi,Imposter Scams,"4,746",13%
Mississippi,Online Shopping and Negative Reviews,"2,085",6%
Mississippi,Banks and Lenders,"1,287",3%
Mississippi,Debt Collection,"1,252",3%
Mississippi,"Prizes, Sweepstakes and Lotteries",1169,3%
Mississippi,Auto Related,877,2%
Mississippi,Telephone and Mobile Services,708,2%
Mississippi,Internet Services,672,2%
Missouri,Imposter Scams,"14,258",20%
Missouri,Identity Theft,"13,372",19%
Missouri,Online Shopping and Negative Reviews,"5,796",8%
Missouri,"Credit Bureaus, Information Furnishers and Report Users","5,449",8%
Missouri,"Prizes, Sweepstakes and Lotteries","2,946",4%
Missouri,Banks and Lenders,"2,780",4%
Missouri,Auto Related,"2,459",3%
Missouri,Debt Collection,"2,279",3%
Missouri,Telephone and Mobile Services,"2,161",3%
Missouri,Internet Services,1707,2%
Montana,Imposter Scams,"2,663",27%
Montana,Identity Theft,1130,12%
Montana,Online Shopping and Negative Reviews,1003,10%
Montana,"Prizes, Sweepstakes and Lotteries",683,7%
Montana,Banks and Lenders,379,4%
Montana,Auto Related,303,3%
Montana,Internet Services,296,3%
Montana,"Credit Bureaus, Information Furnishers and Report Users",261,3%
Montana,Health Care,201,2%
Montana,Business and Job Opportunities,193,2%
Nebraska,Imposter Scams,"3,788",24%
Nebraska,Identity Theft,"2,409",15%
Nebraska,Online Shopping and Negative Reviews,1445,9%
Nebraska,"Prizes, Sweepstakes and Lotteries",1101,7%
Nebraska,Banks and Lenders,628,4%
Nebraska,"Credit Bureaus, Information Furnishers and Report Users",524,3%
Nebraska,Internet Services,458,3%
Nebraska,Telephone and Mobile Services,401,3%
Nebraska,Debt Collection,397,2%
Nebraska,Auto Related,394,2%
Nevada,Identity Theft,"17,985",29%
Nevada,Imposter Scams,"7,799",13%
Nevada,"Credit Bureaus, Information Furnishers and Report Users","7,093",12%
Nevada,Online Shopping and Negative Reviews,"3,397",6%
Nevada,Banks and Lenders,"2,373",4%
Nevada,Debt Collection,"2,005",3%
Nevada,Auto Related,"1,819",3%
Nevada,Internet Services,"1,446",2%
Nevada,"Prizes, Sweepstakes and Lotteries",1367,2%
Nevada,Business and Job Opportunities,1240,2%
New Hampshire,Imposter Scams,"3,414",23%
New Hampshire,Identity Theft,"2,205",15%
New Hampshire,Online Shopping and Negative Reviews,1615,11%
New Hampshire,Banks and Lenders,710,5%
New Hampshire,"Prizes, Sweepstakes and Lotteries",593,4%
New Hampshire,Auto Related,474,3%
New Hampshire,Internet Services,470,3%
New Hampshire,"Credit Bureaus, Information Furnishers and Report Users",395,3%
New Hampshire,Health Care,335,2%
New Hampshire,Business and Job Opportunities,300,2%
New Jersey,Identity Theft,"31,857",24%
New Jersey,"Credit Bureaus, Information Furnishers and Report Users","20,230",16%
New Jersey,Imposter Scams,"18,707",14%
New Jersey,Online Shopping and Negative Reviews,"8,923",7%
New Jersey,Banks and Lenders,"6,194",5%
New Jersey,Debt Collection,"3,690",3%
New Jersey,Auto Related,"3,412",3%
New Jersey,Internet Services,"3,148",2%
New Jersey,Health Care,"2,336",2%
New Jersey,Business and Job Opportunities,"2,326",2%
New Mexico,Imposter Scams,"5,304",23%
New Mexico,Identity Theft,"4,611",20%
New Mexico,Online Shopping and Negative Reviews,1853,8%
New Mexico,"Prizes, Sweepstakes and Lotteries",1220,5%
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",872,4%
New Mexico,Banks and Lenders,836,4%
New Mexico,Auto Related,684,3%
New Mexico,Debt Collection,585,3%
New Mexico,Internet Services,531,2%
New Mexico,Business and Job Opportunities,526,2%
New York,Identity Theft,"109,466",34%
New York,Imposter Scams,"45,408",14%
New York,"Credit Bureaus, Information Furnishers and Report Users","36,340",11%
New York,Online Shopping and Negative Reviews,"19,676",6%
New York,Banks and Lenders,"11,308",4%
New York,Debt Collection,"7,179",2%
New York,Internet Services,"7,068",2%
New York,Auto Related,"6,343",2%
New York,"Prizes, Sweepstakes and Lotteries","5,283",2%
New York,Business and Job Opportunities,"5,171",2%
North Carolina,Identity Theft,"30,318",22%
North Carolina,Imposter Scams,"22,836",16%
North Carolina,"Credit Bureaus, Information Furnishers and Report Users","17,559",13%
North Carolina,Online Shopping and Negative Reviews,"9,783",7%
North Carolina,Banks and Lenders,"5,651",4%
North Carolina,Debt Collection,"5,242",4%
North Carolina,"Prizes, Sweepstakes and Lotteries","4,547",3%
North Carolina,Auto Related,"4,229",3%
North Carolina,Internet Services,"3,029",2%
North Carolina,Telephone and Mobile Services,"2,847",2%
North Dakota,Imposter Scams,1261,22%
North Dakota,Identity Theft,999,18%
North Dakota,Online Shopping and Negative Reviews,530,9%
North Dakota,"Prizes, Sweepstakes and Lotteries",285,5%
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",234,4%
North Dakota,Banks and Lenders,150,3%
North Dakota,Internet Services,136,2%
North Dakota,Debt Collection,124,2%
North Dakota,Business and Job Opportunities,123,2%
North Dakota,Auto Related,121,2%
Ohio,Identity Theft,"50,421",31%
Ohio,Imposter Scams,"25,462",15%
Ohio,"Credit Bureaus, Information Furnishers and Report Users","13,367",8%
Ohio,Online Shopping and Negative Reviews,"10,608",6%
Ohio,Banks and Lenders,"6,434",4%
Ohio,Debt Collection,"6,399",4%
Ohio,"Prizes, Sweepstakes and Lotteries","5,106",3%
Ohio,Auto Related,"4,444",3%
Ohio,Internet Services,"3,383",2%
Ohio,Telephone and Mobile Services,"3,338",2%
Oklahoma,Imposter Scams,"8,004",21%
Oklahoma,Identity Theft,"6,850",18%
Oklahoma,Online Shopping and Negative Reviews,"3,010",8%
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users","2,081",5%
Oklahoma,"Prizes, Sweepstakes and Lotteries","1,880",5%
Oklahoma,Banks and Lenders,1438,4%
Oklahoma,Auto Related,1159,3%
Oklahoma,Debt Collection,1104,3%
Oklahoma,Internet Services,922,2%
Oklahoma,Telephone and Mobile Services,921,2%
Oregon,Imposter Scams,"11,257",23%
Oregon,Identity Theft,"8,016",16%
Oregon,Online Shopping and Negative Reviews,"4,596",9%
Oregon,"Prizes, Sweepstakes and Lotteries","2,426",5%
Oregon,Banks and Lenders,"2,112",4%
Oregon,"Credit Bureaus, Information Furnishers and Report Users","1,595",3%
Oregon,Internet Services,"1,462",3%
Oregon,Auto Related,1159,2%
Oregon,Telephone and Mobile Services,994,2%
Oregon,Business and Job Opportunities,982,2%
Pennsylvania,Identity Theft,"54,460",26%
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users","44,996",22%
Pennsylvania,Imposter Scams,"28,176",13%
Pennsylvania,Online Shopping and Negative Reviews,"13,019",6%
Pennsylvania,Banks and Lenders,"6,884",3%
Pennsylvania,"Prizes, Sweepstakes and Lotteries","5,504",3%
Pennsylvania,Debt Collection,"5,465",3%
Pennsylvania,Auto Related,"4,021",2%
Pennsylvania,Internet Services,"3,940",2%
Pennsylvania,Telephone and Mobile Services,"3,567",2%
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users","3,721",38%
Puerto Rico,Imposter Scams,1903,20%
Puerto Rico,Identity Theft,1404,14%
Puerto Rico,Banks and Lenders,447,5%
Puerto Rico,Online Shopping and Negative Reviews,325,3%
Puerto Rico,Debt Collection,174,2%
Puerto Rico,Internet Services,155,2%
Puerto Rico,Education,142,1%
Puerto Rico,Credit Cards,115,1%
Puerto Rico,Advance Payments for Credit Services,109,1%
Rhode Island,Identity Theft,"30,270",73%
Rhode Island,Imposter Scams,"2,767",7%
Rhode Island,Online Shopping and Negative Reviews,1036,2%
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",666,2%
Rhode Island,Banks and Lenders,558,1%
Rhode Island,Debt Collection,535,1%
Rhode Island,"Prizes, Sweepstakes and Lotteries",374,1%
Rhode Island,Auto Related,373,1%
Rhode Island,Internet Services,309,1%
Rhode Island,Business and Job Opportunities,285,1%
South Carolina,Identity Theft,"17,642",23%
South Carolina,"Credit Bureaus, Information Furnishers and Report Users","14,734",19%
South Carolina,Imposter Scams,"10,622",14%
South Carolina,Online Shopping and Negative Reviews,"4,666",6%
South Carolina,Debt Collection,"3,153",4%
South Carolina,Banks and Lenders,"2,943",4%
South Carolina,"Prizes, Sweepstakes and Lotteries","2,368",3%
South Carolina,Auto Related,"2,313",3%
South Carolina,Internet Services,"1,478",2%
South Carolina,Business and Job Opportunities,1295,2%
South Dakota,Imposter Scams,1308,24%
South Dakota,Identity Theft,673,12%
South Dakota,Online Shopping and Negative Reviews,593,11%
South Dakota,"Prizes, Sweepstakes and Lotteries",381,7%
South Dakota,Banks and Lenders,261,5%
South Dakota,Debt Collection,178,3%
South Dakota,Internet Services,170,3%
South Dakota,Auto Related,147,3%
South Dakota,"Credit Bureaus, Information Furnishers and Report Users",135,2%
South Dakota,Telephone and Mobile Services,127,2%
Tennessee,Identity Theft,"20,254",20%
Tennessee,"Credit Bureaus, Information Furnishers and Report Users","19,952",20%
Tennessee,Imposter Scams,"14,950",15%
Tennessee,Online Shopping and Negative Reviews,"6,228",6%
Tennessee,Banks and Lenders,"3,502",4%
Tennessee,Debt Collection,"3,299",3%
Tennessee,"Prizes, Sweepstakes and Lotteries","3,253",3%
Tennessee,Auto Related,"2,702",3%
Tennessee,Internet Services,"1,968",2%
Tennessee,Telephone and Mobile Services,1830,2%
Texas,Identity Theft,"146,095",32%
Texas,"Credit Bureaus, Information Furnishers and Report Users","67,754",15%
Texas,Imposter Scams,"60,542",13%
Texas,Online Shopping and Negative Reviews,"22,806",5%
Texas,Debt Collection,"17,582",4%
Texas,Banks and Lenders,"15,127",3%
Texas,Auto Related,"10,564",2%
Texas,"Prizes, Sweepstakes and Lotteries","9,009",2%
Texas,Business and Job Opportunities,"8,758",2%
Texas,Internet Services,"8,151",2%
Utah,Imposter Scams,"6,870",21%
Utah,Identity Theft,"6,060",19%
Utah,Online Shopping and Negative Reviews,"2,700",8%
Utah,"Credit Bureaus, Information Furnishers and Report Users","2,265",7%
Utah,"Prizes, Sweepstakes and Lotteries",1382,4%
Utah,Banks and Lenders,1147,4%
Utah,Business and Job Opportunities,879,3%
Utah,Internet Services,854,3%
Utah,Auto Related,833,3%
Utah,Debt Collection,790,2%
Vermont,Imposter Scams,1661,27%
Vermont,Identity Theft,825,13%
Vermont,Online Shopping and Negative Reviews,656,11%
Vermont,"Prizes, Sweepstakes and Lotteries",333,5%
Vermont,Banks and Lenders,267,4%
Vermont,Internet Services,168,3%
Vermont,Auto Related,158,3%
Vermont,Health Care,148,2%
Vermont,Telephone and Mobile Services,145,2%
Vermont,Business and Job Opportunities,114,2%
Virginia,Imposter Scams,"20,714",18%
Virginia,Identity Theft,"19,214",17%
Virginia,"Credit Bureaus, Information Furnishers and Report Users","10,835",10%
Virginia,Online Shopping and Negative Reviews,"8,991",8%
Virginia,Banks and Lenders,"5,498",5%
Virginia,Debt Collection,"4,545",4%
Virginia,"Prizes, Sweepstakes and Lotteries","3,608",3%
Virginia,Auto Related,"3,477",3%
Virginia,Internet Services,"2,969",3%
Virginia,Business and Job Opportunities,"2,472",2%
Washington,Imposter Scams,"22,553",25%
Washington,Identity Theft,"12,917",14%
Washington,Online Shopping and Negative Reviews,"8,414",9%
Washington,"Credit Bureaus, Information Furnishers and Report Users","3,889",4%
Washington,Banks and Lenders,"3,799",4%
Washington,"Prizes, Sweepstakes and Lotteries","3,303",4%
Washington,Internet Services,"2,756",3%
Washington,Auto Related,"2,349",3%
Washington,Debt Collection,"1,929",2%
Washington,Business and Job Opportunities,"1,924",2%
West Virginia,Imposter Scams,"3,684",22%
West Virginia,Identity Theft,"2,845",17%
West Virginia,Online Shopping and Negative Reviews,"1,681",10%
West Virginia,"Prizes, Sweepstakes and Lotteries",1201,7%
West Virginia,"Credit Bureaus, Information Furnishers and Report Users",688,4%
West Virginia,Banks and Lenders,613,4%
West Virginia,Internet Services,561,3%
West Virginia,Auto Related,519,3%
West Virginia,Television and Electronic Media,508,3%
West Virginia,Telephone and Mobile Services,450,3%
Wisconsin,Imposter Scams,"12,977",22%
Wisconsin,Identity Theft,"11,253",19%
Wisconsin,Online Shopping and Negative Reviews,"5,300",9%
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users","2,768",5%
Wisconsin,"Prizes, Sweepstakes and Lotteries","2,568",4%
Wisconsin,Banks and Lenders,"2,192",4%
Wisconsin,Internet Services,"1,826",3%
Wisconsin,Auto Related,"1,484",3%
Wisconsin,Telephone and Mobile Services,"1,312",2%
Wisconsin,Debt Collection,1274,2%
Wyoming,Imposter Scams,1047,22%
Wyoming,Identity Theft,620,13%
Wyoming,Online Shopping and Negative Reviews,462,10%
Wyoming,"Prizes, Sweepstakes and Lotteries",304,6%
Wyoming,Banks and Lenders,184,4%
Wyoming,Internet Services,184,4%
Wyoming,Auto Related,153,3%
Wyoming,Business and Job Opportunities,145,3%
Wyoming,Debt Collection,133,3%
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",123,3%
,,,
Percentages are based on the total number of 2021 reports from the corresponding state's consumers. State-specific data contributor reports are excluded.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
