State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Massachusetts,Employment or Tax-Related Fraud,"1,448",9%
Massachusetts,Government Documents or Benefits Fraud,"3,959",24%
Massachusetts,Loan or Lease Fraud,"1,367",8%
Massachusetts,Other Identity Theft,"5,272",32%
Massachusetts,Phone or Utilities Fraud,890,5%
Michigan,Bank Fraud,"2,237",11%
Michigan,Credit Card Fraud,"6,021",29%
Michigan,Employment or Tax-Related Fraud,"2,111",10%
Michigan,Government Documents or Benefits Fraud,"3,076",15%
Michigan,Loan or Lease Fraud,"3,157",15%
Michigan,Other Identity Theft,"5,488",27%
Michigan,Phone or Utilities Fraud,"2,418",12%
Minnesota,Bank Fraud,982,10%
Minnesota,Credit Card Fraud,"2,236",24%
Minnesota,Employment or Tax-Related Fraud,916,10%
Minnesota,Government Documents or Benefits Fraud,"3,643",39%
Minnesota,Loan or Lease Fraud,839,9%
Minnesota,Other Identity Theft,"1,752",19%
Minnesota,Phone or Utilities Fraud,482,5%
Mississippi,Bank Fraud,637,6%
Mississippi,Credit Card Fraud,"2,844",29%
Mississippi,Employment or Tax-Related Fraud,933,9%
Mississippi,Government Documents or Benefits Fraud,542,5%
Mississippi,Loan or Lease Fraud,"2,132",22%
Mississippi,Other Identity Theft,"4,416",45%
Mississippi,Phone or Utilities Fraud,664,7%
Missouri,Bank Fraud,"1,187",9%
Missouri,Credit Card Fraud,"2,835",21%
Missouri,Employment or Tax-Related Fraud,"1,617",12%
Missouri,Government Documents or Benefits Fraud,"2,712",20%
Missouri,Loan or Lease Fraud,"1,997",15%
Missouri,Other Identity Theft,"4,634",35%
Missouri,Phone or Utilities Fraud,970,7%
Montana,Bank Fraud,168,15%
Montana,Credit Card Fraud,249,22%
Montana,Employment or Tax-Related Fraud,171,15%
Montana,Government Documents or Benefits Fraud,251,22%
Montana,Loan or Lease Fraud,105,9%
Montana,Other Identity Theft,283,25%
Montana,Phone or Utilities Fraud,101,9%
Nebraska,Bank Fraud,322,13%
Nebraska,Credit Card Fraud,516,21%
Nebraska,Employment or Tax-Related Fraud,283,12%
Nebraska,Government Documents or Benefits Fraud,675,28%
Nebraska,Loan or Lease Fraud,315,13%
Nebraska,Other Identity Theft,550,23%
Nebraska,Phone or Utilities Fraud,154,6%
Nevada,Bank Fraud,969,5%
Nevada,Credit Card Fraud,"5,709",32%
Nevada,Employment or Tax-Related Fraud,"1,143",6%
Nevada,Government Documents or Benefits Fraud,"4,467",25%
Nevada,Loan or Lease Fraud,"2,072",12%
Nevada,Other Identity Theft,"5,485",30%
Nevada,Phone or Utilities Fraud,979,5%
New Hampshire,Bank Fraud,336,15%
New Hampshire,Credit Card Fraud,517,23%
New Hampshire,Employment or Tax-Related Fraud,169,8%
New Hampshire,Government Documents or Benefits Fraud,746,34%
New Hampshire,Loan or Lease Fraud,169,8%
New Hampshire,Other Identity Theft,345,16%
New Hampshire,Phone or Utilities Fraud,211,10%
New Jersey,Bank Fraud,"3,867",12%
New Jersey,Credit Card Fraud,"12,156",38%
New Jersey,Employment or Tax-Related Fraud,"1,593",5%
New Jersey,Government Documents or Benefits Fraud,"5,650",18%
New Jersey,Loan or Lease Fraud,"4,283",13%
New Jersey,Other Identity Theft,"8,243",26%
New Jersey,Phone or Utilities Fraud,"2,158",7%
New Mexico,Bank Fraud,577,13%
New Mexico,Credit Card Fraud,873,19%
New Mexico,Employment or Tax-Related Fraud,626,14%
New Mexico,Government Documents or Benefits Fraud,1685,37%
New Mexico,Loan or Lease Fraud,593,13%
New Mexico,Other Identity Theft,908,20%
New Mexico,Phone or Utilities Fraud,241,5%
New York,Bank Fraud,"11,456",10%
New York,Credit Card Fraud,"27,387",25%
New York,Employment or Tax-Related Fraud,"4,696",4%
New York,Government Documents or Benefits Fraud,"46,232",42%
New York,Loan or Lease Fraud,"9,231",8%
New York,Other Identity Theft,"20,935",19%
New York,Phone or Utilities Fraud,"4,168",4%
North Carolina,Bank Fraud,"2,953",10%
North Carolina,Credit Card Fraud,"8,654",29%
North Carolina,Employment or Tax-Related Fraud,"2,256",7%
North Carolina,Government Documents or Benefits Fraud,"2,841",9%
North Carolina,Loan or Lease Fraud,"4,466",15%
North Carolina,Other Identity Theft,"12,959",43%
North Carolina,Phone or Utilities Fraud,"2,100",7%
North Dakota,Bank Fraud,104,10%
North Dakota,Credit Card Fraud,183,18%
North Dakota,Employment or Tax-Related Fraud,121,12%
North Dakota,Government Documents or Benefits Fraud,263,26%
North Dakota,Loan or Lease Fraud,128,13%
North Dakota,Other Identity Theft,277,28%
North Dakota,Phone or Utilities Fraud,77,8%
Ohio,Bank Fraud,"4,203",8%
Ohio,Credit Card Fraud,"7,459",15%
Ohio,Employment or Tax-Related Fraud,"3,060",6%
Ohio,Government Documents or Benefits Fraud,"26,116",52%
Ohio,Loan or Lease Fraud,"3,970",8%
Ohio,Other Identity Theft,"9,415",19%
Ohio,Phone or Utilities Fraud,"2,275",5%
Oklahoma,Bank Fraud,891,13%
Oklahoma,Credit Card Fraud,"1,461",21%
Oklahoma,Employment or Tax-Related Fraud,"1,255",18%
Oklahoma,Government Documents or Benefits Fraud,"1,297",19%
Oklahoma,Loan or Lease Fraud,851,12%
Oklahoma,Other Identity Theft,"1,825",27%
Oklahoma,Phone or Utilities Fraud,508,7%
Oregon,Bank Fraud,"1,051",13%
Oregon,Credit Card Fraud,"1,731",22%
Oregon,Employment or Tax-Related Fraud,886,11%
Oregon,Government Documents or Benefits Fraud,"2,797",35%
Oregon,Loan or Lease Fraud,674,8%
Oregon,Other Identity Theft,"1,352",17%
Oregon,Phone or Utilities Fraud,723,9%
Pennsylvania,Bank Fraud,"7,919",15%
Pennsylvania,Credit Card Fraud,"15,029",28%
Pennsylvania,Employment or Tax-Related Fraud,"2,422",4%
Pennsylvania,Government Documents or Benefits Fraud,"12,496",23%
Pennsylvania,Loan or Lease Fraud,"6,568",12%
Pennsylvania,Other Identity Theft,"16,099",30%
Pennsylvania,Phone or Utilities Fraud,"3,450",6%
Puerto Rico,Bank Fraud,57,4%
Puerto Rico,Credit Card Fraud,251,18%
Puerto Rico,Employment or Tax-Related Fraud,552,39%
Puerto Rico,Government Documents or Benefits Fraud,280,20%
Puerto Rico,Loan or Lease Fraud,94,7%
Puerto Rico,Other Identity Theft,205,15%
Puerto Rico,Phone or Utilities Fraud,103,7%
Rhode Island,Bank Fraud,507,2%
Rhode Island,Credit Card Fraud,792,3%
Rhode Island,Employment or Tax-Related Fraud,426,1%
Rhode Island,Government Documents or Benefits Fraud,"27,343",90%
Rhode Island,Loan or Lease Fraud,323,1%
Rhode Island,Other Identity Theft,"1,257",4%
Rhode Island,Phone or Utilities Fraud,174,1%
South Carolina,Bank Fraud,"1,248",7%
South Carolina,Credit Card Fraud,"4,874",28%
South Carolina,Employment or Tax-Related Fraud,"1,312",7%
South Carolina,Government Documents or Benefits Fraud,956,5%
South Carolina,Loan or Lease Fraud,"3,771",21%
South Carolina,Other Identity Theft,"8,449",48%
South Carolina,Phone or Utilities Fraud,"1,459",8%
South Dakota,Bank Fraud,127,19%
South Dakota,Credit Card Fraud,164,24%
South Dakota,Employment or Tax-Related Fraud,115,17%
South Dakota,Government Documents or Benefits Fraud,105,16%
South Dakota,Loan or Lease Fraud,93,14%
South Dakota,Other Identity Theft,148,22%
South Dakota,Phone or Utilities Fraud,43,6%
Tennessee,Bank Fraud,"1,362",7%
Tennessee,Credit Card Fraud,"6,534",32%
Tennessee,Employment or Tax-Related Fraud,"1,722",9%
Tennessee,Government Documents or Benefits Fraud,"1,767",9%
Tennessee,Loan or Lease Fraud,"3,279",16%
Tennessee,Other Identity Theft,"8,007",40%
Tennessee,Phone or Utilities Fraud,"1,421",7%
Texas,Bank Fraud,"8,584",6%
Texas,Credit Card Fraud,"42,614",29%
Texas,Employment or Tax-Related Fraud,"8,695",6%
Texas,Government Documents or Benefits Fraud,"22,340",15%
Texas,Loan or Lease Fraud,"42,341",29%
Texas,Other Identity Theft,"45,488",31%
Texas,Phone or Utilities Fraud,"14,821",10%
Utah,Bank Fraud,599,10%
Utah,Credit Card Fraud,"1,736",29%
Utah,Employment or Tax-Related Fraud,652,11%
Utah,Government Documents or Benefits Fraud,1103,18%
Utah,Loan or Lease Fraud,"1,107",18%
Utah,Other Identity Theft,"1,964",32%
Utah,Phone or Utilities Fraud,318,5%
Vermont,Bank Fraud,118,14%
Vermont,Credit Card Fraud,141,17%
Vermont,Employment or Tax-Related Fraud,75,9%
Vermont,Government Documents or Benefits Fraud,378,46%
Vermont,Loan or Lease Fraud,59,7%
Vermont,Other Identity Theft,104,13%
Vermont,Phone or Utilities Fraud,32,4%
Virginia,Bank Fraud,"2,355",12%
Virginia,Credit Card Fraud,"5,571",29%
Virginia,Employment or Tax-Related Fraud,"1,525",8%
Virginia,Government Documents or Benefits Fraud,"2,765",14%
Virginia,Loan or Lease Fraud,"2,482",13%
Virginia,Other Identity Theft,"6,618",34%
Virginia,Phone or Utilities Fraud,"1,354",7%
Washington,Bank Fraud,"2,249",17%
Washington,Credit Card Fraud,"3,640",28%
Washington,Employment or Tax-Related Fraud,"1,833",14%
Washington,Government Documents or Benefits Fraud,"2,309",18%
Washington,Loan or Lease Fraud,"1,439",11%
Washington,Other Identity Theft,"3,068",24%
Washington,Phone or Utilities Fraud,942,7%
West Virginia,Bank Fraud,301,11%
West Virginia,Credit Card Fraud,452,16%
West Virginia,Employment or Tax-Related Fraud,449,16%
West Virginia,Government Documents or Benefits Fraud,"1,091",38%
West Virginia,Loan or Lease Fraud,211,7%
West Virginia,Other Identity Theft,582,20%
West Virginia,Phone or Utilities Fraud,164,6%
Wisconsin,Bank Fraud,"1,289",11%
Wisconsin,Credit Card Fraud,"2,292",20%
Wisconsin,Employment or Tax-Related Fraud,1249,11%
Wisconsin,Government Documents or Benefits Fraud,"3,536",31%
Wisconsin,Loan or Lease Fraud,"1,363",12%
Wisconsin,Other Identity Theft,"2,541",23%
Wisconsin,Phone or Utilities Fraud,663,6%
Wyoming,Bank Fraud,101,16%
Wyoming,Credit Card Fraud,120,19%
Wyoming,Employment or Tax-Related Fraud,84,14%
Wyoming,Government Documents or Benefits Fraud,154,25%
Wyoming,Loan or Lease Fraud,78,13%
Wyoming,Other Identity Theft,142,23%
Wyoming,Phone or Utilities Fraud,33,5%
,,,
Percentages are based on the total number of 2021 Identity Theft reports from the corresponding state's consumers. Consumers can report multiple types of identity theft.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
